x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
longshort-width_factor1-原始因子-000905,5.48,-14.20,-10.20,31.35,5.39,7,6,7.67,0.74,63,2.22,4.27,17.40,0.71,53.55
longshort-width_factor2-原始因子-000905,0.37,-22.93,-14.08,17.99,0.59,6,7,5.93,0.09,97,1.71,0.23,9.66,0.06,52.90
longshort-abs_overnight_20-原始因子-A,9.21,-16.23,-8.55,33.79,8.74,5,3,11.00,0.86,20,3.18,8.22,16.11,0.84,64.47
longshort-bias_factor3-原始因子-A,1.96,-9.51,-8.57,12.45,2.08,9,5,4.32,0.47,52,1.25,2.10,8.98,0.45,61.94
longshort-bias_factor4-原始因子-A,2.48,-9.45,-6.84,13.02,2.60,13,5,3.49,0.72,54,1.01,2.81,9.83,0.71,62.58
longshort-corr_overnight_20-原始因子-A,5.60,-4.02,0.40,16.23,5.35,12,4,3.64,1.53,10,1.05,4.53,9.89,1.54,69.08
longshort-revs_20-原始因子-A,10.20,-10.78,-8.12,40.62,10.04,9,3,8.95,1.14,12,2.58,9.47,21.14,1.14,64.47
longshort-revs_intraday_20-原始因子-A,12.98,-9.69,-6.14,36.39,12.60,11,3,8.02,1.58,8,2.32,10.49,23.33,1.62,68.42
longshort-revs_overnight_20-原始因子-A,5.32,-15.71,-15.45,18.74,5.12,13,4,5.85,0.92,39,1.69,6.87,12.03,0.91,69.74
longshort-width_factor1-原始因子-A,1.36,-11.75,-9.06,11.08,1.38,9,5,4.70,0.31,83,1.36,1.53,7.66,0.29,53.55
longshort-width_factor2-原始因子-A,-0.54,-19.07,-13.62,8.62,-0.29,6,6,4.16,-0.11,11,1.20,0.58,4.99,-0.13,50.97
longshort-abs_overnight_20-市值中性化-000300,2.97,-24.31,-12.99,23.87,3.41,6,5,8.18,0.40,16,2.36,4.37,11.23,0.36,55.92
longshort-bias_factor3-市值中性化-000300,1.98,-22.97,-16.22,23.99,1.61,6,6,10.49,0.24,115,3.03,1.52,12.91,0.19,54.19
longshort-bias_factor4-市值中性化-000300,5.68,-17.47,-12.12,22.99,5.17,6,5,7.97,0.74,27,2.30,5.16,15.92,0.71,55.48
longshort-corr_overnight_20-市值中性化-000300,1.44,-12.68,-10.76,10.27,1.10,8,4,4.76,0.33,77,1.37,1.36,6.24,0.30,57.89
longshort-revs_20-市值中性化-000300,4.65,-23.22,-14.86,27.16,4.54,6,5,7.86,0.62,23,2.27,2.84,16.96,0.59,59.21
longshort-revs_intraday_20-市值中性化-000300,4.53,-29.07,-21.69,34.38,4.62,9,5,7.68,0.62,33,2.22,4.10,17.33,0.59,58.55
longshort-revs_overnight_20-市值中性化-000300,-0.49,-22.54,-15.01,9.83,-0.47,5,4,6.20,-0.05,24,1.79,-0.02,6.37,-0.08,49.34
longshort-width_factor1-市值中性化-000300,0.79,-20.08,-14.35,21.43,1.12,7,6,9.66,0.13,68,2.79,1.79,8.61,0.08,43.87
longshort-width_factor2-市值中性化-000300,1.16,-17.62,-12.19,19.66,1.18,14,5,7.01,0.20,52,2.02,0.63,8.85,0.17,54.19
longshort-abs_overnight_20-市值中性化-000905,5.84,-13.79,-9.90,30.70,5.63,7,5,8.66,0.70,40,2.50,5.78,13.44,0.67,63.16
longshort-bias_factor3-市值中性化-000905,4.77,-10.18,-7.48,18.25,4.37,9,5,7.07,0.70,39,2.04,3.94,13.15,0.67,56.13
longshort-bias_factor4-市值中性化-000905,1.83,-18.75,-16.90,14.39,1.98,10,7,5.57,0.36,50,1.61,1.30,8.35,0.33,56.13
longshort-corr_overnight_20-市值中性化-000905,4.31,-6.74,-6.26,16.21,4.18,14,5,3.86,1.12,23,1.11,4.51,9.83,1.12,62.50
longshort-revs_20-市值中性化-000905,5.22,-14.93,-8.26,41.87,5.59,9,5,7.59,0.71,9,2.19,3.52,18.29,0.69,57.89
