x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,Äê»¯ÊÕÒæÂÊ(%),×î´ó»Ø³·(%),³ÖÓÐ1Äê×îµÍÊÕÒæ(%),³ÖÓÐ1Äê×î¸ßÊÕÒæ(%),³ÖÓÐ1ÄêÆ½¾ùÊÕÒæ(%),×î´óÁ¬ÐøÉÏÕÇÌìÊý,×î´óÁ¬ÐøÏÂµøÌìÊý,ÊÕÒæ²¨¶¯ÂÊ(%),ÏÄÆÕ±ÈÂÊ,×î³¤ÐÂ¸ß¼ä¸ô,ÏÂµø²¨¶¯ÂÊ(%),³ÖÓÐ1ÄêÊÕÒæÖÐÎ»Êý(%),³ÖÓÐ1ÄêÊÕÒæ90%·ÖÎ»Êý(%),ÐÅÏ¢±ÈÂÊ,Ê¤ÂÊ(%)
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-kosdaq,53.64,-11.78,NaN,NaN,NaN,10,5,17.09,2.62,21,1.09,NaN,NaN,3.14,63.38
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-kospi,45.82,-9.11,NaN,NaN,NaN,5,6,17.52,2.26,20,1.12,NaN,NaN,2.62,57.14
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-msci,-7.42,-19.04,NaN,NaN,NaN,5,5,21.63,-0.25,7,1.38,NaN,NaN,-0.34,49.29
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ndx,32.20,-6.29,NaN,NaN,NaN,5,4,13.64,2.13,56,0.87,NaN,NaN,2.36,52.48
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-nifty,20.51,-5.61,NaN,NaN,NaN,6,7,13.58,1.45,36,0.87,NaN,NaN,1.51,50.36
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-nky,39.34,-6.01,NaN,NaN,NaN,9,5,17.69,1.98,28,1.13,NaN,NaN,2.22,53.57
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-RTY,6.30,-12.08,NaN,NaN,NaN,5,6,16.96,0.45,16,1.09,NaN,NaN,0.37,48.59
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-set50,23.20,-14.17,NaN,NaN,NaN,8,4,26.42,0.92,27,1.69,NaN,NaN,0.88,52.24
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-sx5e,15.63,-7.08,NaN,NaN,NaN,7,4,16.37,0.98,16,1.05,NaN,NaN,0.96,54.76
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ukx,1.54,-6.25,NaN,NaN,NaN,4,3,15.54,0.18,14,0.99,NaN,NaN,0.10,51.76
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-xin9i,42.63,-11.20,NaN,NaN,NaN,6,4,26.60,1.48,96,1.70,NaN,NaN,1.60,55.56
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-hsce,101.43,-9.78,NaN,NaN,NaN,9,7,29.45,2.54,39,1.89,NaN,NaN,3.44,53.19
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-US,21.67,-10.96,NaN,NaN,NaN,5,6,18.34,1.17,7,1.17,NaN,NaN,1.18,54.35
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-HK,69.46,-9.78,NaN,NaN,NaN,4,7,29.04,1.97,39,1.86,NaN,NaN,2.39,50.52
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-forex-day,-0.82,-0.91,NaN,NaN,NaN,1,1,1.07,-0.77,1,0.07,NaN,NaN,-0.77,16.67
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-as51,23.98,-8.92,NaN,NaN,NaN,5,3,20.46,1.16,69,1.31,NaN,NaN,1.17,60.61
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-topix,36.00,-9.02,NaN,NaN,NaN,5,4,20.29,1.63,62,1.30,NaN,NaN,1.77,58.16
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-twse,-36.85,-29.82,NaN,NaN,NaN,4,6,27.60,-1.54,6,1.77,NaN,NaN,-1.34,44.70
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-hk-ggt,-15.65,-25.66,NaN,NaN,NaN,6,5,25.80,-0.54,4,1.65,NaN,NaN,-0.61,51.94
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-kosdaq,31.71,-23.62,NaN,NaN,NaN,6,5,28.15,1.13,37,1.80,NaN,NaN,1.13,51.43
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-kospi,64.29,-21.52,NaN,NaN,NaN,7,5,30.74,1.78,12,1.97,NaN,NaN,2.09,54.76
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-msci,10.66,-12.99,NaN,NaN,NaN,6,4,15.29,0.74,67,0.98,NaN,NaN,0.70,60.00
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-ndx,65.79,-9.47,NaN,NaN,NaN,5,6,18.79,2.81,33,1.20,NaN,NaN,3.50,58.44
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-nifty,17.99,-10.31,NaN,NaN,NaN,9,4,16.96,1.07,22,1.09,NaN,NaN,1.06,52.94
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-nky,29.61,-9.59,NaN,NaN,NaN,5,3,17.90,1.55,62,1.15,NaN,NaN,1.65,52.63
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-RTY,56.38,-8.82,NaN,NaN,NaN,7,6,19.59,2.40,40,1.25,NaN,NaN,2.88,55.63
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-set50,-8.64,-11.00,NaN,NaN,NaN,3,3,10.55,-0.81,1,0.68,NaN,NaN,-0.82,41.67
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-sx5e,-8.20,-7.13,NaN,NaN,NaN,1,3,7.99,-1.04,1,0.51,NaN,NaN,-1.03,47.06
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-ukx,-11.86,-11.26,NaN,NaN,NaN,4,2,24.86,-0.39,4,1.59,NaN,NaN,-0.48,52.46
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-xin9i,9.76,-8.22,NaN,NaN,NaN,6,4,19.02,0.59,74,1.22,NaN,NaN,0.51,50.00
