,index,
66,688008 US Equity,-1.0
67,688037 US Equity,-1.0
68,688050 US Equity,-1.0
69,688089 US Equity,-1.0
70,688553 US Equity,-1.0
71,688618 US Equity,-1.0
0,000037 IN Equity,-1.0
1,000622 IN Equity,-1.0
2,000635 IN Equity,1.0
3,000665 IN Equity,-1.0
4,000720 IN Equity,-1.0
5,000755 IN Equity,1.0
6,000860 IN Equity,-1.0
7,000950 IN Equity,-1.0
8,000989 IN Equity,-1.0
9,002038 IN Equity,-1.0
10,002072 IN Equity,-1.0
11,002093 IN Equity,-1.0
12,002252 IN Equity,-1.0
13,002353 IN Equity,-1.0
14,002507 IN Equity,-1.0
15,002566 IN Equity,1.0
16,002636 IN Equity,1.0
17,002689 IN Equity,1.0
18,002703 IN Equity,-1.0
19,002712 IN Equity,-1.0
20,002718 IN Equity,-1.0
21,002932 IN Equity,1.0
22,002966 IN Equity,-1.0
23,002982 IN Equity,-1.0
24,002995 IN Equity,-1.0
25,300065 IN Equity,-1.0
26,300108 IN Equity,-1.0
27,300251 IN Equity,-1.0
28,300261 IN Equity,-1.0
29,300273 IN Equity,-1.0
30,300294 IN Equity,-1.0
31,300356 IN Equity,1.0
32,300410 IN Equity,-1.0
33,300518 IN Equity,1.0
34,300535 IN Equity,-1.0
35,300770 IN Equity,-1.0
36,300813 IN Equity,1.0
37,300834 IN Equity,-1.0
38,300866 IN Equity,-1.0
39,300981 IN Equity,-1.0
40,300993 IN Equity,-1.0
41,301058 IN Equity,-1.0
42,301077 IN Equity,-1.0
43,600057 IN Equity,-1.0
44,600094 IN Equity,1.0
45,600143 IN Equity,-1.0
46,600278 IN Equity,1.0
47,600510 IN Equity,-1.0
48,600520 IN Equity,-1.0
49,600589 IN Equity,-1.0
50,600641 IN Equity,1.0
51,600713 IN Equity,1.0
52,600722 IN Equity,-1.0
53,600829 IN Equity,1.0
54,600880 IN Equity,-1.0
55,600998 IN Equity,-1.0
56,601187 IN Equity,-1.0
57,601288 IN Equity,-1.0
58,601568 IN Equity,-1.0
59,603013 IN Equity,-1.0
60,603056 IN Equity,-1.0
61,603353 IN Equity,-1.0
62,603826 IN Equity,-1.0
63,603968 IN Equity,-1.0
64,605296 IN Equity,-1.0
65,605499 IN Equity,-1.0
66,688008 IN Equity,-1.0
67,688037 IN Equity,-1.0
68,688050 IN Equity,-1.0
69,688089 IN Equity,-1.0
70,688553 IN Equity,-1.0
71,688618 IN Equity,-1.0
0,000037 JT Equity,-1.0
1,000622 JT Equity,-1.0
2,000635 JT Equity,1.0
3,000665 JT Equity,-1.0
4,000720 JT Equity,-1.0
5,000755 JT Equity,1.0
6,000860 JT Equity,-1.0
7,000950 JT Equity,-1.0
8,000989 JT Equity,-1.0
9,002038 JT Equity,-1.0
10,002072 JT Equity,-1.0
11,002093 JT Equity,-1.0
12,002252 JT Equity,-1.0
13,002353 JT Equity,-1.0
14,002507 JT Equity,-1.0
15,002566 JT Equity,1.0
16,002636 JT Equity,1.0
17,002689 JT Equity,1.0
18,002703 JT Equity,-1.0
19,002712 JT Equity,-1.0
20,002718 JT Equity,-1.0
21,002932 JT Equity,1.0
22,002966 JT Equity,-1.0
23,002982 JT Equity,-1.0
24,002995 JT Equity,-1.0
25,300065 JT Equity,-1.0
26,300108 JT Equity,-1.0
27,300251 JT Equity,-1.0
28,300261 JT Equity,-1.0
29,300273 JT Equity,-1.0
30,300294 JT Equity,-1.0
31,300356 JT Equity,1.0
32,300410 JT Equity,-1.0
33,300518 JT Equity,1.0
34,300535 JT Equity,-1.0
35,300770 JT Equity,-1.0
36,300813 JT Equity,1.0
37,300834 JT Equity,-1.0
38,300866 JT Equity,-1.0
39,300981 JT Equity,-1.0
40,300993 JT Equity,-1.0
41,301058 JT Equity,-1.0
42,301077 JT Equity,-1.0
43,600057 JT Equity,-1.0
44,600094 JT Equity,1.0
45,600143 JT Equity,-1.0
46,600278 JT Equity,1.0
47,600510 JT Equity,-1.0
48,600520 JT Equity,-1.0
49,600589 JT Equity,-1.0
50,600641 JT Equity,1.0
51,600713 JT Equity,1.0
52,600722 JT Equity,-1.0
53,600829 JT Equity,1.0
54,600880 JT Equity,-1.0
55,600998 JT Equity,-1.0
56,601187 JT Equity,-1.0
57,601288 JT Equity,-1.0
58,601568 JT Equity,-1.0
59,603013 JT Equity,-1.0
60,603056 JT Equity,-1.0
61,603353 JT Equity,-1.0
62,603826 JT Equity,-1.0
63,603968 JT Equity,-1.0
64,605296 JT Equity,-1.0
65,605499 JT Equity,-1.0
66,688008 JT Equity,-1.0
67,688037 JT Equity,-1.0
68,688050 JT Equity,-1.0
69,688089 JT Equity,-1.0
70,688553 JT Equity,-1.0
71,688618 JT Equity,-1.0
