x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,Äê»¯ÊÕÒæÂÊ(%),×î´ó»Ø³·(%),³ÖÓÐ1Äê×îµÍÊÕÒæ(%),³ÖÓÐ1Äê×î¸ßÊÕÒæ(%),³ÖÓÐ1ÄêÆ½¾ùÊÕÒæ(%),×î´óÁ¬ÐøÉÏÕÇÌìÊý,×î´óÁ¬ÐøÏÂµøÌìÊý,ÊÕÒæ²¨¶¯ÂÊ(%),ÏÄÆÕ±ÈÂÊ,×î³¤ÐÂ¸ß¼ä¸ô,ÏÂµø²¨¶¯ÂÊ(%),³ÖÓÐ1ÄêÊÕÒæÖÐÎ»Êý(%),³ÖÓÐ1ÄêÊÕÒæ90%·ÖÎ»Êý(%),ÐÅÏ¢±ÈÂÊ,Ê¤ÂÊ(%)
s43¿ò¼ÜISO-S43¿ò¼Ü-hsce,13.19,-37.68,-29.76,74.38,16.80,9,10,22.55,0.66,525,1.44,12.57,50.09,0.58,51.08
s43¿ò¼ÜISO-S43¿ò¼Ü-US,17.61,-39.01,-26.49,99.08,18.92,10,7,17.05,1.04,186,1.09,19.62,32.87,1.03,55.94
s43¿ò¼ÜISO-S43¿ò¼Ü-HK,10.73,-32.23,-25.26,83.07,13.84,11,13,20.51,0.60,335,1.31,10.01,43.95,0.52,51.90
s43¿ò¼ÜISO-S43¿ò¼Ü-forex-day,2.67,-14.94,-11.07,15.94,3.22,6,7,5.06,0.55,1121,0.32,3.15,10.72,0.53,49.42
s43¿ò¼ÜISO-S43¿ò¼Ü-as51,14.20,-35.50,-21.86,57.82,15.67,13,8,17.12,0.86,450,1.10,19.12,35.33,0.83,54.19
s43¿ò¼ÜISO-S43¿ò¼Ü-topix,16.28,-37.25,-27.59,81.37,16.86,12,10,16.90,0.98,814,1.08,16.03,41.50,0.96,56.79
s43¿ò¼ÜISO-S43¿ò¼Ü-twse,-1.25,-55.77,-32.57,73.23,-0.68,11,8,14.21,-0.02,52,0.91,-0.06,16.34,-0.09,54.84
s43¿ò¼ÜISO-S43¿ò¼Ü-hk-ggt,8.10,-38.65,-37.12,57.80,11.21,13,12,20.09,0.49,598,1.29,11.65,37.38,0.40,54.16
s43¿ò¼ÜISO-S43¿ò¼Ü-kosdaq,28.00,-39.77,-35.85,145.60,31.10,20,9,19.13,1.39,202,1.22,27.18,59.95,1.46,59.16
s43¿ò¼ÜISO-S43¿ò¼Ü-kospi,21.21,-41.32,-41.18,233.77,24.97,15,8,17.64,1.18,332,1.13,18.34,60.56,1.20,55.13
s43¿ò¼ÜISO-S43¿ò¼Ü-msci,13.64,-28.49,-23.99,76.94,15.58,10,10,18.06,0.80,639,1.16,17.24,42.01,0.76,54.02
s43¿ò¼ÜISO-S43¿ò¼Ü-ndx,25.00,-45.81,-23.71,81.72,25.92,13,9,20.38,1.20,287,1.30,29.74,50.57,1.23,55.91
s43¿ò¼ÜISO-S43¿ò¼Ü-nifty,19.55,-22.58,-19.34,133.18,21.76,9,10,18.06,1.08,344,1.16,13.28,56.27,1.08,54.02
s43¿ò¼ÜISO-S43¿ò¼Ü-nky,10.08,-34.88,-27.88,84.18,12.10,11,11,19.54,0.59,786,1.25,11.80,47.56,0.52,52.22
s43¿ò¼ÜISO-S43¿ò¼Ü-RTY,16.58,-34.62,-21.82,119.57,17.89,14,8,19.36,0.89,376,1.24,16.37,37.65,0.86,54.69
s43¿ò¼ÜISO-S43¿ò¼Ü-set50,21.95,-34.48,-27.33,127.84,27.19,13,9,23.96,0.95,636,1.53,18.52,76.33,0.92,52.75
s43¿ò¼ÜISO-S43¿ò¼Ü-sx5e,7.00,-42.32,-35.78,58.27,6.80,10,9,19.12,0.45,805,1.22,11.85,26.28,0.37,52.41
s43¿ò¼ÜISO-S43¿ò¼Ü-ukx,12.29,-43.66,-33.02,57.86,11.19,10,7,17.40,0.75,305,1.11,11.70,33.75,0.71,53.45
s43¿ò¼ÜISO-S43¿ò¼Ü-xin9i,16.75,-45.59,-38.85,148.13,22.39,9,9,24.65,0.75,933,1.58,19.29,75.41,0.68,50.59
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-hsce,26.65,-30.67,-22.95,102.47,29.47,9,10,24.66,1.08,364,1.58,22.65,70.72,1.08,51.46
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-US,22.35,-34.55,-18.63,114.60,24.03,10,7,17.37,1.25,267,1.11,25.14,39.72,1.29,56.93
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-HK,20.81,-36.21,-32.50,106.29,23.32,11,10,23.17,0.93,447,1.48,17.30,59.60,0.90,52.34
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-forex-day,5.31,-9.14,-6.62,17.20,5.57,10,6,4.46,1.18,248,0.29,5.23,11.10,1.19,52.25
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-as51,31.61,-31.44,-11.71,105.94,33.83,13,8,17.96,1.62,238,1.15,30.87,67.85,1.76,56.28
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-topix,32.71,-31.11,-22.25,109.27,33.92,14,9,17.33,1.72,381,1.11,34.77,65.98,1.89,58.90
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-twse,18.01,-28.68,-23.41,123.36,19.74,11,9,14.93,1.18,517,0.96,19.55,43.36,1.21,58.01
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-hk-ggt,22.67,-39.14,-28.98,85.89,26.25,13,10,21.58,1.06,420,1.38,27.29,59.25,1.05,55.18
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-kosdaq,58.24,-34.59,-16.65,229.47,61.27,20,12,19.58,2.45,157,1.25,55.23,98.65,2.98,61.38
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-kospi,45.78,-18.96,-17.36,387.16,51.58,17,10,19.06,2.08,223,1.22,34.84,131.72,2.40,56.00
