x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZX04-000300-fore_q_equalratio_EP1Q-指数,5.30,-46.70,-42.53,147.77,7.01,12,9,23.22,0.34,1362,1.49,2.15,34.41,0.23,52.58
ZX04-000300-fore_q_equalratio_EP1Qlong-指数,14.94,-24.50,-17.28,42.88,16.64,13,16,11.17,1.30,333,0.72,15.83,32.78,1.34,54.73
ZX04-000300-fore_q_equalratio_EPTTM-long,27.38,-36.39,-26.79,176.59,31.15,11,7,21.97,1.21,482,1.41,22.52,86.77,1.25,56.10
ZX04-000300-fore_q_equalratio_EPTTM-指数,5.21,-46.70,-42.53,147.77,6.94,12,9,23.21,0.34,1367,1.49,2.08,34.35,0.22,52.58
ZX04-000300-fore_q_equalratio_EPTTMlong-指数,19.74,-26.27,-15.75,61.83,21.56,20,13,12.90,1.46,339,0.83,20.24,43.90,1.53,55.20
ZX04-000300-fore_q_equalratio_Grh1Q-long,17.04,-33.79,-24.41,173.99,20.70,11,9,20.76,0.86,621,1.33,17.58,48.43,0.82,55.07
ZX04-000300-fore_q_equalratio_Grh1Q-指数,5.30,-46.70,-42.53,147.77,7.01,12,9,23.22,0.34,1362,1.49,2.15,34.41,0.23,52.58
ZX04-000300-fore_q_equalratio_Grh1Qlong-指数,9.85,-25.37,-18.62,68.65,12.90,11,15,11.20,0.90,233,0.72,11.59,29.92,0.88,54.10
ZX04-000300-fore_q_equalratio_GrhTTM-long,17.29,-37.48,-27.02,191.26,21.07,11,7,22.23,0.83,577,1.42,17.82,48.32,0.78,54.77
ZX04-000300-fore_q_equalratio_GrhTTM-指数,5.48,-46.70,-42.53,147.77,7.06,12,9,23.22,0.35,1361,1.49,2.46,34.41,0.24,52.62
ZX04-000300-fore_q_equalratio_GrhTTMlong-指数,10.19,-25.17,-23.90,66.30,13.36,12,9,11.75,0.88,239,0.75,10.46,31.73,0.87,53.50
ZX04-000300-fore_q_simple_EP1Q-long,26.27,-33.16,-21.77,152.16,29.31,13,7,20.30,1.25,511,1.30,22.25,80.75,1.29,56.23
ZX04-000300-fore_q_simple_EP1Q-指数,5.30,-46.70,-42.53,147.77,7.01,12,9,23.22,0.34,1362,1.49,2.15,34.41,0.23,52.58
ZX04-000300-fore_q_simple_EP1Qlong-指数,18.26,-26.62,-20.46,54.22,20.05,12,13,12.29,1.43,313,0.79,18.28,39.96,1.49,54.90
ZX04-000300-fore_q_simple_EPTTM-long,28.48,-35.86,-24.22,173.75,31.91,11,10,21.55,1.27,665,1.38,23.96,86.92,1.32,56.17
ZX04-000300-fore_q_simple_EPTTM-指数,5.21,-46.70,-42.53,147.77,6.94,12,9,23.21,0.34,1367,1.49,2.08,34.35,0.22,52.58
ZX04-000300-fore_q_simple_EPTTMlong-指数,20.58,-27.80,-20.11,65.47,22.36,12,11,13.40,1.46,291,0.86,20.80,45.38,1.54,55.77
