,candle_end_time,open,close,DIF,DEA,MACD,min,price_new_low,last_valley_price,last_valley_dif,state,macd_sig,signal,Observation,RollingMean,UpperBound,LowerBound,sell_sig1,sell_sig2,sell_sig3,r
2178,2015-12-18,3574.94,3578.96,9.005122807468979,6.90206661553993,4.206112383858098,3574.94,,3083.59,-217.76449946950288,,False,0.0,3578.96,3528.5165,3663.0388653190125,3393.994134680988,True,False,,-0.0002905027932961213
2179,2015-12-21,3568.58,3642.47,17.542550340110665,9.030163360454077,17.024773959313176,3568.58,,3083.59,-217.76449946950288,,False,0.0,3642.47,3530.1244999999994,3669.210692050187,3391.038307949812,True,False,,0.017745378545722668
2180,2015-12-22,3645.99,3651.77,24.77338330340399,12.17880734904406,25.189151908719857,3645.99,,3083.59,-217.76449946950288,,False,0.0,3651.77,3531.9075,3676.1748793864062,3387.6401206135934,True,False,,0.002553212517879322
2181,2015-12-23,3653.28,3636.09,28.905421855232817,15.524130250281813,26.762583209902008,3636.09,,3083.59,-217.76449946950288,,False,0.0,3636.09,3531.3154999999997,3673.7592764839915,3388.871723516008,True,False,,-0.004293808208074346
2182,2015-12-24,3631.31,3612.49,29.9307463974892,18.405453479723292,23.05058583553182,3612.49,,3083.59,-217.76449946950288,,False,0.0,3612.49,3530.1625,3669.5533372706814,3390.7716627293185,True,False,,-0.006490488409252926
2183,2015-12-25,3614.05,3627.91,31.62305768959868,21.04897432169837,21.148166735800622,3614.05,,3083.59,-217.76449946950288,,False,0.0,3627.91,3539.743,3678.348708987835,3401.137291012165,True,False,,0.004268523926709955
2184,2015-12-28,3635.77,3533.78,25.07962001031592,21.85510345942188,6.449033101788082,3533.78,,3083.59,-217.76449946950288,,False,0.0,3533.78,3544.1614999999997,3675.92195875383,3412.4010412461694,False,False,,-0.025946068121866173
2185,2015-12-29,3528.4,3563.74,22.057158922441886,21.895514552025883,0.3232887408320053,3528.4,,3083.59,-217.76449946950288,,False,0.0,3563.74,3549.5330000000004,3675.1454705752544,3423.9205294247463,True,False,,0.008478173513914111
2186,2015-12-30,3566.73,3572.88,20.16688702826741,21.54978904727419,-2.765804038013556,3566.73,,3083.59,-217.76449946950288,,False,0.0,3572.88,3551.3314999999993,3677.1992989440455,3425.463701055953,True,False,,0.0025647213320838524
2187,2015-12-31,3570.47,3539.18,15.767763612281215,20.393383960275596,-9.251240695988763,3539.18,,3083.59,-217.76449946950288,,False,0.0,3539.18,3549.0495,3674.0579340315453,3424.041065968455,False,False,,-0.009432166767425754
2188,2016-01-04,3536.59,3296.26,-7.236766284714122,14.867353911277652,-44.20824039198355,3296.26,,3083.59,-217.76449946950288,,False,0.0,3296.26,3537.613,3704.252337504746,3370.973662495254,False,False,,-0.0686373679778931
2189,2016-01-05,3196.65,3287.71,-25.85983938025447,6.721915252971227,-65.1635092664514,3196.65,,3083.59,-217.76449946950288,,False,0.0,3287.71,3525.1520000000005,3724.2443687739496,3326.0596312260514,False,False,,-0.0025938487862001702
2190,2016-01-06,3291.2,3361.84,-34.24236286672931,-1.4709403709688802,-65.54284499152085,3291.2,1.0,3083.59,-217.76449946950288,,True,0.0,3361.84,3519.7405,3730.092563215512,3309.3884367844876,False,False,,0.02254760912610898
2191,2016-01-07,3309.66,3125.0,-59.312860038562576,-13.03932430448762,-92.54707146814991,3125.0,,3361.84,-34.24236286672931,,False,0.0,3125.0,3502.3684999999996,3773.951617978686,3230.785382021313,False,False,,-0.07044951574137981
2192,2016-01-08,3194.62,3186.41,-73.38025400465949,-25.107510244521997,-96.54548752027499,3186.41,1.0,3361.84,-34.24236286672931,,True,0.0,3186.41,3488.9139999999998,3793.150617086153,3184.6773829138465,False,False,True,0.01965119999999998
2193,2016-01-11,3131.85,3016.7,-97.10359396095009,-39.50672698780762,-115.19373394628495,3016.7,,3186.41,-73.38025400465949,,False,0.0,3016.7,3468.0200000000004,3835.1990542501435,3100.8409457498574,False,False,,-0.05326056596608719
2194,2016-01-12,3026.16,3022.86,-114.09226664509879,-54.42383491926586,-119.33686345166586,3022.86,1.0,3186.41,-73.38025400465949,,True,0.0,3022.86,3443.1295,3857.1601637666254,3029.0988362333746,False,False,True,0.0020419663871118487
2195,2016-01-13,3041.11,2949.6,-131.94638607974412,-69.92834515136151,-124.03608185676521,2949.6,,3022.86,-114.09226664509879,,False,0.0,2949.6,3415.0919999999996,3879.94416925818,2950.2398307418193,False,False,,-0.024235326809710078
2196,2016-01-14,2874.05,3007.65,-139.8002245418761,-83.90272102946443,-111.79500702482335,2874.05,,3022.86,-114.09226664509879,,False,0.0,3007.65,3389.665,3884.2952108646814,2895.0347891353185,False,False,,0.019680634662327057
2197,2016-01-15,2988.05,2900.97,-152.87043730232926,-97.6962642840374,-110.34834603658373,2900.97,1.0,3022.86,-114.09226664509879,,True,0.0,2900.97,3355.7135000000003,3885.3995449842378,2826.027455015763,False,False,True,-0.03546955264076612
2198,2016-01-18,2847.54,2913.84,-160.3418525727434,-110.22538194177861,-100.23294126192957,2847.54,,2900.97,-152.87043730232926,,False,0.0,2913.84,3322.4574999999995,3874.9302125886375,2769.9847874113616,False,False,,0.004436447119411824
