,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
ticker,600000,600009,600016,600028,600030,600031,600036,600048,600050,600104,600196,600276,600309,600340,600438,600519,600547,600570,600585,600588,600690,600703,600745,600809,600837,600887,600918,601012,601066,601088,601111,601138,601166,601186,601211,601236,601288,601318,601319,601328,601336,601390,601398,601601,601628,601658,601668,601688,601766,601816,601818,601857,601888,601899,601939,601988,601989,601995,603160,603259,603288,603501,603986,603993
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,,,1.0,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,-1.0,,,,1.0,-1.0,,,,1.0,1.0,,,,,,,,-1.0,,,,,,,,
2014-11-21,-1.0,-1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,1.0,,,,-1.0,,,,,,,,,-1.0,,,,,,,,
2014-11-28,,,,,,1.0,-1.0,,,,1.0,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,-1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,
2014-12-05,,-1.0,1.0,,1.0,-1.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,1.0,,,-1.0,,,,,,,,,,,,,
2014-12-12,1.0,,,1.0,,-1.0,,,,-1.0,,,,,,,1.0,,,,-1.0,,,,,,,-1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,-1.0,,,,,,,,,,,
2014-12-19,-1.0,,-1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,-1.0,,,,-1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,-1.0
2014-12-26,,-1.0,1.0,,,,,-1.0,,,,1.0,,,,,-1.0,,,,,,,,-1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,,,
2014-12-31,,,,,,,,-1.0,,,,,,1.0,,1.0,-1.0,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,
2015-01-09,,,,,,,,1.0,,,,,-1.0,,,,-1.0,,,,,,,,1.0,,,,,,-1.0,,,,,,,,,,,1.0,,,-1.0,,1.0,,,,1.0,,,,,-1.0,,,,,,,,
2015-01-16,,,,,,,1.0,,,,,1.0,1.0,-1.0,,,,,,,,,,,,,,,,1.0,-1.0,,1.0,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,-1.0,,,,,,,,
2015-01-23,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,-1.0,,,,,,,-1.0,,,-1.0,,,,,-1.0,,,,-1.0,,,,,,,,
2015-01-30,,,,1.0,,1.0,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,-1.0,,,,,,,,,,1.0,-1.0,,1.0,,,,,-1.0,,,,,,,,1.0
2015-02-06,,-1.0,,,,,1.0,,,,1.0,-1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,-1.0,1.0,,-1.0,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,
2015-02-13,,,-1.0,,1.0,-1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,-1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,-1.0
2015-02-17,,,,,,,1.0,,,,,-1.0,,,,-1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,-1.0,,-1.0,,,,,,,,1.0,-1.0,,,1.0,,,,,,,,,,,,
2015-02-27,,,,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,1.0,,1.0,-1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,-1.0
2015-03-06,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,-1.0,,,,-1.0,,,,,1.0,,-1.0,,,,-1.0,,,-1.0,,,,,,,,,,,,
2015-03-13,,,,,-1.0,,1.0,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,,1.0,,-1.0,1.0,,,,,,,1.0,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,
2015-03-20,1.0,,,,,,,1.0,,,1.0,-1.0,,,,,-1.0,,,,,,,,1.0,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,1.0
2015-03-27,1.0,1.0,-1.0,,,-1.0,,-1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,-1.0,,,,,,,,1.0
2015-04-03,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,,,-1.0,-1.0,,,,-1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,-1.0,,,,,,,,1.0,,,,,,,,
2015-04-10,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,,,,,,-1.0,,,,,,,-1.0,,,1.0,,,1.0,1.0,,,-1.0,1.0,,,,,,-1.0,,,,,,,,,
2015-04-17,,,,,,,-1.0,,,,,-1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,1.0,-1.0,1.0,,,,,,-1.0,,1.0,,,,,,,,,,,
2015-04-24,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,-1.0,,,,,1.0,-1.0,,,,-1.0,-1.0,,,-1.0,,,,,,,,,,,,,
2015-04-30,1.0,,,-1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,-1.0,,,,,,-1.0,-1.0,,,,,,,,
2015-05-08,,,,,,,,,,,,1.0,1.0,,,-1.0,1.0,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,1.0,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,-1.0
2015-05-15,,1.0,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,-1.0,-1.0,,,,,,1.0,,,,,-1.0,,,,,,,,,,,,1.0
2015-05-22,,,1.0,,,,1.0,-1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,-1.0,,,,,,,,,,,,-1.0,,,,-1.0,,,,,,,,
2015-05-29,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,-1.0,,,,,,,,,,,-1.0,,,,,,,-1.0,,,,,,,1.0,-1.0,,,,1.0,,,,,,,,1.0
2015-06-05,1.0,,,,,,1.0,,,,,-1.0,,,,-1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,-1.0,,,-1.0,,,,-1.0,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,,-1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,-1.0,,,-1.0,,,,,,-1.0,,1.0,,,,,,,1.0,,,,,,,,-1.0
2015-06-19,1.0,,,,,-1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,-1.0,,-1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,
2015-06-26,,1.0,-1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,-1.0,,,1.0,,,,1.0,,,,-1.0,,,,,,,,,,-1.0,,,-1.0,,,,,,,,,
2015-07-03,1.0,,,,-1.0,-1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,-1.0
2015-07-10,,,,,1.0,-1.0,,,,,-1.0,,1.0,,,,,,,,,,,,,-1.0,,,,1.0,,,1.0,,-1.0,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,
2015-07-17,,,,,,,,,,,-1.0,-1.0,,,,-1.0,,,1.0,,1.0,,,,,,,,,,,,,-1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,-1.0,,,,,,,,,
2015-07-24,,,-1.0,,,,,1.0,,,,-1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,-1.0,,,,1.0,,,,,,,-1.0,,1.0,,,,,,,,,,,,,-1.0
2015-07-31,,,,,,,1.0,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,-1.0,,,-1.0,,,,,-1.0,,,,,,,,
2015-08-07,,,,-1.0,,,1.0,,,,,1.0,,,,-1.0,,,,,,,,,1.0,1.0,,,,,-1.0,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
2015-08-14,,,,,1.0,,,,,,1.0,,-1.0,,,,1.0,,,,,,,,,,,,,,-1.0,,-1.0,,,,1.0,,,,,,1.0,-1.0,,,,,,,,,-1.0,,,,,,,,,,,
2015-08-21,,,,-1.0,,,1.0,-1.0,,,,,,1.0,,,-1.0,,,,,,,,,-1.0,,,,1.0,,,,,,,-1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,1.0,1.0,1.0,-1.0,,,,,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,
2015-09-02,-1.0,,,,,1.0,1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,1.0,,1.0,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,
2015-09-11,,,-1.0,,,,-1.0,-1.0,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,
2015-09-18,-1.0,1.0,1.0,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,-1.0,,-1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2015-09-25,-1.0,-1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,,1.0,,,,,1.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,
2015-09-30,,,,-1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,-1.0,,,,,,,,1.0,1.0,-1.0,,,,-1.0,,,,-1.0,,,,,,,,,,,,,
2015-10-09,-1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,-1.0,,,1.0,,,,,,,,,-1.0,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,
2015-10-16,,,,,1.0,,,,,,,,-1.0,-1.0,,,,,,,,,,,1.0,,,,,-1.0,1.0,,,-1.0,,,,,,,,1.0,,,,,1.0,-1.0,,,,,,,,,,,,,,,,
2015-10-23,,,,,,,,-1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,-1.0,,,,-1.0,-1.0,,,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,,
2015-10-30,1.0,,,,-1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,-1.0,,,-1.0,1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,
2015-11-06,1.0,,,1.0,,,,-1.0,,,-1.0,,,,,1.0,,,,,,,,,,,,,,,-1.0,,1.0,,,,-1.0,,,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
2015-11-13,,,,,,,-1.0,,,,,-1.0,,1.0,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,-1.0,-1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,
2015-11-20,,,,-1.0,,,1.0,,,,,,1.0,1.0,,-1.0,1.0,,,,,,,,,,,,,,,,,,-1.0,,,,,,1.0,,,,,,,,,,,-1.0,,,,,,,,,,,,-1.0
2015-11-27,1.0,,,,1.0,,,-1.0,,,,,1.0,,,-1.0,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,
2015-12-04,-1.0,,,,1.0,,,,1.0,,,,,,,-1.0,,,1.0,,,,,,1.0,,,,,,,,-1.0,,,,,,,1.0,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,,,
2015-12-11,,-1.0,,,1.0,,1.0,1.0,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,-1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
2015-12-18,,1.0,-1.0,1.0,,,-1.0,,-1.0,,1.0,,,,,,-1.0,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2015-12-25,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,-1.0,,,1.0,-1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,-1.0,,,,,,,,,
2015-12-31,,,,,,1.0,,-1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,-1.0,,,,,,-1.0,,,,,,,-1.0,,,,-1.0,,,,,,,,,
2016-01-08,,-1.0,,,,-1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,,1.0,,-1.0,,,,,,,,,1.0,,,,-1.0,,,,,,,,1.0
2016-01-15,1.0,,,,,,1.0,-1.0,,,-1.0,1.0,,,,1.0,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,-1.0,,,,,,,,,
2016-01-22,1.0,,1.0,,1.0,-1.0,,,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,-1.0,,,,,,-1.0,,,,,,,,,
2016-01-29,,,1.0,,-1.0,,1.0,,,,-1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,-1.0,,,,1.0,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,
2016-02-05,-1.0,,,,,,,,,,-1.0,,,1.0,,,,,,,,,,,,-1.0,,,,,-1.0,,,,,,,1.0,,,1.0,-1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
2016-02-19,,-1.0,,,,-1.0,,,,,,,,,,-1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,,-1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,
2016-02-26,,1.0,,-1.0,,-1.0,1.0,,,,-1.0,1.0,,,,,1.0,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,
2016-03-04,,,,,,,,,,,,,1.0,,,,,,-1.0,,,-1.0,,,,,,,,,,,,,1.0,,,-1.0,,1.0,1.0,,,,,,,,-1.0,,,,,,1.0,,-1.0,,,,,,,
2016-03-11,,-1.0,,,,,-1.0,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
2016-03-18,-1.0,,,-1.0,,,,,,,,,1.0,1.0,,-1.0,,,,,,,,,,,,,,,-1.0,,1.0,,1.0,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-25,1.0,,,,-1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,1.0,-1.0,,,,,,,,,,-1.0,,,,-1.0,,,,,,,,
2016-04-01,,,,,,,1.0,,,,,,1.0,,,,1.0,,-1.0,,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,-1.0,1.0,-1.0,,,,,,,
2016-04-08,-1.0,,,,,,,,,,,1.0,,,,,-1.0,,,,,,,,1.0,,,,,,,,,-1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,-1.0,,,,-1.0,,,,,,,,
2016-04-15,,,,,,,,,,1.0,,,,,,-1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,-1.0,,,,,,,-1.0,1.0,,,,,,-1.0,,,-1.0,,,,,,,,,,,,,
2016-04-22,-1.0,,,,,1.0,,,,,1.0,,,,,-1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,-1.0,,,,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,,1.0
2016-04-29,-1.0,-1.0,-1.0,,1.0,,,,,,,1.0,-1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
2016-05-06,,,,,1.0,,,1.0,-1.0,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,,,-1.0,,1.0,,-1.0,,,,,,,
2016-05-13,,1.0,,,,,1.0,,-1.0,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,-1.0,,,,,,-1.0,,-1.0,,,,,,,
2016-05-20,-1.0,,,,,,,,,,-1.0,,1.0,,,-1.0,,,1.0,,,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,1.0
2016-05-27,1.0,,-1.0,,-1.0,,-1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,1.0
2016-06-03,1.0,,,-1.0,-1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,-1.0,,,,1.0,-1.0,,,1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,
2016-06-08,,,1.0,1.0,1.0,,,,,,,-1.0,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,-1.0,,,,,1.0,,,,,,,,,,,,,,,,,-1.0
2016-06-17,,1.0,,,,,1.0,,-1.0,-1.0,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,,,1.0,,,,,,-1.0,,1.0,,,,,,,,,
2016-06-24,,,1.0,1.0,,-1.0,,-1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,-1.0,-1.0,,,,,,,-1.0,,,,,,,,,
2016-07-01,,,1.0,,,1.0,,-1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,,-1.0,,,-1.0,-1.0,,,,,,,,,,,,
2016-07-08,,,-1.0,,,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,-1.0,,,,,1.0,-1.0,1.0,,,,,,,-1.0,,,,1.0,,,,,,,,
2016-07-15,-1.0,,,,-1.0,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,1.0,,,-1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
2016-07-22,,1.0,-1.0,,-1.0,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,
2016-07-29,,,,,-1.0,1.0,,,,,,,,-1.0,,,,,,,1.0,,,,,-1.0,,1.0,,,,,,-1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,-1.0
2016-08-05,,1.0,-1.0,,,,1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,-1.0,,,,-1.0,,,,,,,
2016-08-12,,-1.0,,,,,,,1.0,1.0,,-1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,-1.0,-1.0,,,,,,,,1.0,,,,,,,
2016-08-19,1.0,,,,,1.0,,-1.0,,,,-1.0,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,,,,,,,1.0,,,,-1.0,,,1.0,,,,-1.0,,,,,,,,,
2016-08-26,,,1.0,,,,1.0,,,-1.0,,,,,,,,,-1.0,,-1.0,-1.0,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,
2016-09-02,,,-1.0,,,,,1.0,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,-1.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0
2016-09-09,,,,,,,,,,,,1.0,-1.0,,,,1.0,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,,1.0,-1.0,,,,,,,,,,1.0,,,-1.0,,,,,,,,,-1.0
2016-09-14,-1.0,1.0,,-1.0,,1.0,,,,,,,1.0,,,1.0,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,-1.0,,,,,,,
2016-09-23,1.0,,1.0,,,,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,-1.0,-1.0,,,,,,,,,,1.0,1.0,,1.0,,-1.0,,,,,,,,,,,,,,,
2016-09-30,,,1.0,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,-1.0,1.0,,,,-1.0,,,1.0,,,,,,-1.0,1.0,,,-1.0,,,,,,,,,,,,,,,,1.0
2016-10-14,-1.0,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,-1.0,,,1.0,,,,-1.0,,,,,,,,,,,,-1.0
2016-10-21,,,,-1.0,,-1.0,,-1.0,,,1.0,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,-1.0,,,,,,,,,,,,
2016-10-28,,-1.0,,1.0,,1.0,-1.0,,,,,,-1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,,
2016-11-04,,,,,,,,1.0,,,,,,1.0,,-1.0,,,,,,,,,-1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,-1.0,1.0,,-1.0,,,,,,,,,,,,,-1.0
2016-11-11,,,1.0,,,-1.0,,,-1.0,-1.0,-1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,
2016-11-18,,,,1.0,-1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,,,,-1.0,,,,,-1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,-1.0
2016-11-25,,1.0,1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,-1.0,,,,1.0,-1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,-1.0,,,,,,,,,,,,-1.0
2016-12-02,,1.0,-1.0,,,,,-1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,-1.0,,1.0,,-1.0,,,,-1.0,,,,,,,,,,,,,,,
2016-12-09,-1.0,,,,1.0,,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,,,,,,,,,-1.0,1.0,,,,,1.0,,,,,-1.0,,,1.0,,,,,,,,,
2016-12-16,,1.0,1.0,-1.0,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,1.0,,,,-1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,
2016-12-23,1.0,1.0,-1.0,,,,,-1.0,-1.0,,,1.0,,,,1.0,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,
2016-12-30,,,,,,-1.0,,,,,,-1.0,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,-1.0
2017-01-06,,,,,,,,1.0,,,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,-1.0,,,-1.0,-1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,
2017-01-13,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,-1.0,,,,1.0,,,1.0,,-1.0,,,,,,-1.0,,,,,,,,,
2017-01-20,-1.0,,,-1.0,,,-1.0,-1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,,
2017-01-26,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,-1.0,,,,-1.0,-1.0,,-1.0,,-1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2017-02-03,,,,1.0,,,1.0,,,,,,,1.0,,,-1.0,,,,,,,,,-1.0,,,,,,,,1.0,,,-1.0,,,-1.0,,,,,1.0,,,,-1.0,,,,,,,,,,,,,,,
2017-02-10,1.0,,-1.0,-1.0,,,,-1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,1.0,,,,,,,,,,,,,,,
2017-02-17,,,,-1.0,,,1.0,-1.0,,,,,,,,1.0,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,,,,,1.0,-1.0,,,,1.0,,,,,,-1.0,,,,,,,,,
2017-02-24,,1.0,,,,1.0,,,,,1.0,,-1.0,-1.0,,-1.0,,,,,,,,,,,,,,,,,,-1.0,,,,,,,-1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
2017-03-03,-1.0,,,,1.0,,-1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,,1.0,,-1.0,,,,1.0,-1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
2017-03-10,,,,,,,1.0,,,,1.0,,,,,-1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,-1.0,,,,,,-1.0,,-1.0,,,1.0,,,,,,,,,,,,,,,,-1.0
2017-03-17,,,,-1.0,,,,-1.0,,,-1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,1.0
2017-03-24,,,,,,,1.0,,,,-1.0,-1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,1.0,,,1.0,,-1.0,,1.0,,,,-1.0,,,,,,,,,,,,,,,1.0
2017-03-31,,,,,1.0,,,,,,,,,-1.0,,,-1.0,,,,,,,,1.0,,,,,-1.0,,,,,,,-1.0,,,,,,,-1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0
2017-04-07,,,1.0,,,1.0,,-1.0,,,,-1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,-1.0,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,
2017-04-14,,1.0,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,,,,-1.0,,-1.0,-1.0,,1.0,1.0,,,,,,,,,,,,,,,,
2017-04-21,,,-1.0,,-1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,-1.0,,,1.0,,,-1.0,,,,-1.0,1.0,,,,,,,,,1.0,,,,,,,
2017-04-28,-1.0,1.0,,,,,-1.0,,,,,1.0,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,1.0,,,-1.0,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,,,,
