x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
longshort-中性化-NewRVS-2d-rcc2-000905,16.95,-5.13,9.28,28.83,18.78,17,5,6.81,2.35,34,0.62,19.29,26.17,2.49,64.77
long-中性化-NewRVS-2d-rcc2-A,30.75,-67.91,-56.52,349.10,34.75,18,7,35.23,0.94,788,3.19,18.74,109.74,0.87,56.92
short-中性化-NewRVS-2d-rcc2-A,-29.13,-99.84,-80.18,96.74,-28.50,9,10,32.55,-0.89,8,2.95,-31.05,-1.90,-0.89,48.07
longshort-中性化-NewRVS-2d-rcc2-A,36.22,-3.19,10.10,81.15,36.90,30,5,4.76,6.52,29,0.43,35.03,60.28,7.60,75.94
long-中性化-NewRVS-5d-rcc5-000300,167.87,-21.11,86.73,227.58,142.96,11,6,47.40,2.33,41,4.29,132.61,189.24,3.54,62.69
short-中性化-NewRVS-5d-rcc5-000300,44.88,-33.43,1.66,59.00,29.33,11,7,45.48,1.05,67,4.12,29.85,50.52,0.99,58.03
longshort-中性化-NewRVS-5d-rcc5-000300,36.09,-3.05,28.47,47.42,36.89,9,4,9.21,3.41,21,0.83,36.71,45.15,3.92,61.66
long-中性化-NewRVS-5d-rcc5-000905,192.24,-29.92,65.44,280.67,142.75,13,4,53.68,2.29,46,4.86,127.40,237.62,3.58,65.28
short-中性化-NewRVS-5d-rcc5-000905,44.99,-43.36,-5.43,49.32,19.72,10,6,51.99,0.99,34,4.71,20.00,38.64,0.87,60.62
longshort-中性化-NewRVS-5d-rcc5-000905,42.23,-4.88,23.56,70.20,42.19,11,4,8.34,4.29,37,0.75,39.13,65.73,5.06,66.84
long-中性化-NewRVS-5d-rcc5-A,52.77,-71.79,-45.10,491.83,59.38,13,7,55.81,1.04,136,5.05,28.11,180.77,0.95,56.69
short-中性化-NewRVS-5d-rcc5-A,-44.61,-99.09,-79.14,107.91,-43.68,8,8,51.30,-0.89,2,4.64,-50.87,-9.61,-0.87,47.77
