x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
郑锰硅001合约,980,980,274,706,0.57942155089002,-0.171792202353956,27.9591836734694,43.7550410094077,7.92895644923915,11.162000257502,58.5501143734674,9.29,-7.93,-5.55,29.45,6.01,5,17,7.71,1.19,550,0.49,3.75,17.90,1.21,27.89
沪锡1507合约,763,763,244,519,0.320697521732922,-0.108536314432815,31.9790301441678,24.1694594307339,3.87307652103872,7.91921999696392,34.0110221426395,7.07,-3.87,-0.38,16.16,5.93,7,14,4.16,1.67,205,0.27,4.80,11.42,1.70,31.89
郑白糖001合约,2666,2666,749,1917,0.371145588707798,-0.103588694538155,28.0945236309077,118.760238250137,6.96816576652871,11.1365564750691,185.569618049674,7.39,-6.97,-3.93,25.07,7.40,5,22,4.54,1.59,804,0.29,6.28,18.99,1.63,28.07
郑精对苯二甲酸001合约,2637,2637,664,1973,0.52501906952438,-0.126046678244177,25.1801289343951,166.472681799074,6.14682663925294,15.7823930412471,246.83960442248,9.50,-6.15,-5.01,42.35,9.73,5,22,5.95,1.55,276,0.38,7.16,24.49,1.60,25.19
连聚氯乙烯0909合约,2178,2178,558,1620,0.469393175443432,-0.135208044709091,25.6198347107438,51.4509268066385,8.54048192167606,5.90575376568394,88.2951402279622,4.74,-8.54,-5.70,24.80,4.22,4,19,5.57,0.86,519,0.36,2.78,12.86,0.85,25.59
郑强麦001合约,1271,1271,322,949,0.323894968194584,-0.110349339487236,25.3343823760818,-0.922279737731069,13.2374494298409,-0.181408288302728,12.5052246918553,-0.29,-13.24,-9.48,13.44,1.89,5,23,4.39,-0.05,258,0.28,1.74,10.60,-0.07,25.28
沪线材0909合约,638,638,106,532,0.958179285605487,-0.28234297840431,16.6144200626959,-40.6183586687289,48.3704313111131,-15.9162847447997,-36.7030191919671,-18.07,-48.37,-43.67,3.92,-17.52,3,28,16.04,-1.16,134,1.03,-10.48,2.22,-1.13,16.64
郑强麦001合约,1328,1328,364,964,0.286256355196405,-0.0853046742974614,27.4096385542169,24.0898925549897,7.9985519806377,4.53499483339415,41.7093884512024,3.97,-8.00,-6.06,14.76,4.10,5,21,3.73,1.06,521,0.24,4.66,11.38,1.06,27.35
郑硬麦001合约,1075,1075,226,849,0.312727317594922,-0.0943889791486984,21.0232558139535,-9.35936698966836,10.6100864971048,-2.17659697434148,0.92800256492287,-2.12,-10.61,-8.80,5.13,-1.24,4,26,4.09,-0.50,NaN,0.26,-0.94,3.18,-0.52,21.04
连豆油0603合约,2999,2999,804,2195,0.443444847941729,-0.109097282964988,26.808936312104,217.157047712718,4.32893404934527,18.1024547943246,328.019300802518,9.81,-4.33,-1.57,42.46,8.51,6,21,5.15,1.84,169,0.33,7.27,13.74,1.91,26.78
郑动力煤001合约,726,726,221,505,0.408135955921242,-0.13850088360145,30.4407713498623,21.9976187527773,4.05859262533785,7.57493758704453,31.181044101339,6.78,-4.06,0.29,15.21,5.98,7,21,5.00,1.34,144,0.32,5.83,8.93,1.36,30.34
沪锌0707合约,2705,2705,700,2005,0.50355703774801,-0.125332902314322,25.8780036968577,169.966151007374,4.95299068269093,15.7085167289625,253.783670237638,9.39,-4.95,0.30,34.19,8.72,5,29,5.83,1.57,132,0.37,6.75,18.57,1.61,25.89
