,3219
JDIV US Equity,-1.0
JDST US Equity,-1.0
JHEM US Equity,-1.0
JHML US Equity,-1.0
JHMM US Equity,-1.0
JHMT US Equity,1.0
JMUB US Equity,-1.0
JNK US Equity,1.0
JO US Equity,1.0
JPEM US Equity,1.0
JPHY US Equity,1.0
JPUS US Equity,1.0
JPXN US Equity,1.0
JSML US Equity,1.0
JXI US Equity,-1.0
KARS US Equity,1.0
KBWD US Equity,-1.0
KBWP US Equity,-1.0
KBWR US Equity,-1.0
KCE US Equity,-1.0
KGRN US Equity,-1.0
KLDW US Equity,-1.0
KNG US Equity,-1.0
KORP US Equity,-1.0
KRE US Equity,1.0
KWEB US Equity,-1.0
LABD US Equity,-1.0
LDSF US Equity,1.0
LDUR US Equity,1.0
LEMB US Equity,1.0
LGLV US Equity,-1.0
LIT US Equity,1.0
LKOR US Equity,1.0
LMBS US Equity,-1.0
LOUP US Equity,1.0
LQD US Equity,1.0
LQDH US Equity,1.0
LRGF US Equity,-1.0
LSAF US Equity,1.0
MBB US Equity,1.0
MBSD US Equity,-1.0
MCHI US Equity,1.0
MDY US Equity,-1.0
MDYV US Equity,-1.0
MFDX US Equity,-1.0
MFUS US Equity,-1.0
MGK US Equity,1.0
MGV US Equity,1.0
MINC US Equity,1.0
MJ US Equity,-1.0
MMIN US Equity,1.0
MNA US Equity,1.0
MOO US Equity,1.0
MORT US Equity,1.0
MOTI US Equity,1.0
MRGR US Equity,1.0
MTUM US Equity,1.0
MUB US Equity,1.0
MXI US Equity,-1.0
NEAR US Equity,-1.0
NFTY US Equity,1.0
NOBL US Equity,1.0
NORW US Equity,1.0
NTSX US Equity,-1.0
NUAG US Equity,-1.0
NUDM US Equity,1.0
NUGT US Equity,-1.0
NUMV US Equity,-1.0
NURE US Equity,-1.0
NUSC US Equity,1.0
NYF US Equity,-1.0
OCIO US Equity,1.0
OGIG US Equity,1.0
OIH US Equity,-1.0
OIL US Equity,1.0
OILK US Equity,1.0
ONEO US Equity,1.0
ONEQ US Equity,1.0
OSCV US Equity,1.0
OUSA US Equity,1.0
OUSM US Equity,-1.0
PAVE US Equity,1.0
PAWZ US Equity,-1.0
PBD US Equity,1.0
PBDM US Equity,1.0
PBJ US Equity,-1.0
PBP US Equity,1.0
PBTP US Equity,-1.0
PBW US Equity,1.0
PCEF US Equity,1.0
PDBC US Equity,-1.0
PDN US Equity,1.0
PEY US Equity,-1.0
PFFD US Equity,1.0
PFM US Equity,1.0
PGF US Equity,-1.0
PGHY US Equity,-1.0
PGX US Equity,-1.0
PHDG US Equity,1.0
PHYL US Equity,1.0
PICB US Equity,1.0
PIO US Equity,1.0
PIZ US Equity,1.0
PKB US Equity,1.0
PNQI US Equity,-1.0
POCT US Equity,-1.0
PPH US Equity,-1.0
PPLT US Equity,-1.0
PPTY US Equity,1.0
PREF US Equity,1.0
PRF US Equity,1.0
PRFZ US Equity,-1.0
PRN US Equity,1.0
PRNT US Equity,1.0
PSC US Equity,-1.0
PSI US Equity,-1.0
PSQ US Equity,-1.0
PST US Equity,1.0
PTF US Equity,-1.0
PTH US Equity,1.0
PTLC US Equity,1.0
PUTW US Equity,-1.0
PWB US Equity,1.0
PWC US Equity,1.0
PWV US Equity,-1.0
PXF US Equity,1.0
PXH US Equity,1.0
PZA US Equity,-1.0
PZT US Equity,1.0
QAI US Equity,-1.0
QEMM US Equity,1.0
QGRO US Equity,1.0
QLD US Equity,1.0
QQQ US Equity,-1.0
QQQE US Equity,-1.0
QQXT US Equity,1.0
QUAL US Equity,1.0
RBIN US Equity,-1.0
RCD US Equity,1.0
RDIV US Equity,-1.0
REET US Equity,-1.0
REGL US Equity,1.0
RESP US Equity,1.0
RFDA US Equity,1.0
RFV US Equity,-1.0
RIGS US Equity,1.0
RING US Equity,1.0
RLY US Equity,-1.0
ROBO US Equity,-1.0
ROM US Equity,1.0
RPG US Equity,1.0
RPV US Equity,-1.0
RSX US Equity,1.0
RTM US Equity,-1.0
RVNU US Equity,-1.0
RWK US Equity,1.0
RWM US Equity,1.0
RWX US Equity,1.0
RYJ US Equity,-1.0
RYT US Equity,1.0
RZV US Equity,-1.0
SCHB US Equity,-1.0
SCHF US Equity,1.0
SCHK US Equity,-1.0
SCHM US Equity,1.0
SCHO US Equity,-1.0
SCHR US Equity,-1.0
SCHV US Equity,-1.0
SCO US Equity,-1.0
SCZ US Equity,-1.0
SDEM US Equity,1.0
SDG US Equity,-1.0
SDOG US Equity,1.0
SDOW US Equity,-1.0
SDVY US Equity,-1.0
SGDM US Equity,1.0
SHE US Equity,-1.0
SHY US Equity,-1.0
SHYD US Equity,1.0
SILJ US Equity,1.0
SIZE US Equity,-1.0
SJB US Equity,-1.0
SKOR US Equity,-1.0
SLY US Equity,1.0
SLYG US Equity,-1.0
SLYV US Equity,1.0
