,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
7296 JT Equity,2022-06-10,BUY,富士离合器株式会社,47812,0,0,1406.0,134.45,500000,0,0,Quant,Pattern 87,topix
7451 JT Equity,2022-06-10,SELL,三菱食品株式会社,-21409,0,0,3140.0,134.45,500000,0,0,Quant,Pattern 87,topix
7739 JT Equity,2022-06-10,BUY,佳能电子株式会社,42900,0,0,1567.0,134.45,500000,0,0,Quant,Pattern 87,topix
8041 JT Equity,2022-06-10,SELL,OUG Holdings Inc,-23966,0,0,2805.0,134.45,500000,0,0,Quant,Pattern 87,topix
8078 JT Equity,2022-06-10,SELL,阪和兴业有限公司,-21897,0,0,3070.0,134.45,500000,0,0,Quant,Pattern 87,topix
8150 JT Equity,2022-06-10,SELL,三信电气株式会社,-40940,0,0,1642.0,134.45,500000,0,0,Quant,Pattern 87,topix
8179 JT Equity,2022-06-10,SELL,Royal 控股株式会社,-30295,0,0,2219.0,134.45,500000,0,0,Quant,Pattern 87,topix
8214 JT Equity,2022-06-10,SELL,青木控股株式会社,-94549,0,0,711.0,134.45,500000,0,0,Quant,Pattern 87,topix
8541 JT Equity,2022-06-10,SELL,爱媛银行,-75874,0,0,886.0,134.45,500000,0,0,Quant,Pattern 87,topix
8563 JT Equity,2022-06-10,SELL,大东银行有限公司,-102165,0,0,658.0,134.45,500000,0,0,Quant,Pattern 87,topix
ABBV US Equity,2022-06-10,SELL,艾伯维公司,-3350,0,0,149.25,1.0,500000,0,0,Quant,Pattern 87,SPX
ADM US Equity,2022-06-10,BUY,Archer-Daniels-Midland公司,5642,0,0,88.61,1.0,500000,0,0,Quant,Pattern 87,SPX
CERN US Equity,2022-06-10,BUY,塞纳公司,5267,0,0,94.92,1.0,500000,0,0,Quant,Pattern 87,NDX
CHD US Equity,2022-06-10,BUY,切迟杜威股份有限公司,5716,0,0,87.47,1.0,500000,0,0,Quant,Pattern 87,SPX
COTY US Equity,2022-06-10,SELL,科蒂集团,-69444,0,0,7.2,1.0,500000,0,0,Quant,Pattern 87,SPX
CTSH US Equity,2022-06-10,BUY,高知特科技公司,6839,0,0,73.11,1.0,500000,0,0,Quant,Pattern 87,SPX
DXC US Equity,2022-06-10,SELL,DXC技术公司,-14188,0,0,35.24,1.0,500000,0,0,Quant,Pattern 87,SPX
EFX US Equity,2022-06-10,BUY,Equifax 公司,2548,0,0,196.18,1.0,500000,0,0,Quant,Pattern 87,SPX
GE US Equity,2022-06-10,SELL,通用电气,-6480,0,0,77.16,1.0,500000,0,0,Quant,Pattern 87,SPX
GILD US Equity,2022-06-10,SELL,吉利德科学,-16030,0,0,62.38,1.0,500000,0,0,Quant,Pattern 87,SPX
OBL AU Equity,2022-06-10,SELL,Omni Bridgeway有限公司,-440312,0,0,3.2,1.409,1000000,0,0,Quant,Pattern 87,AU
PNV AU Equity,2022-06-10,SELL,PolyNovo Ltd,-1214655,0,0,1.16,1.409,1000000,0,0,Quant,Pattern 87,AU
QUB AU Equity,2022-06-10,SELL,Qube Logistics控股公司,-469666,0,0,3.0,1.409,1000000,0,0,Quant,Pattern 87,AU
SIQ AU Equity,2022-06-10,BUY,SmartGroup有限公司,179719,0,0,7.84,1.409,1000000,0,0,Quant,Pattern 87,AU
SKC AU Equity,2022-06-10,SELL,天空城娱乐集团有限公司,-554724,0,0,2.54,1.409,1000000,0,0,Quant,Pattern 87,AU
000876 CH Equity,2022-06-10,BUY,新 希 望,231235,0,0,14.49,6.7012,500000,0,0,Quant,Pattern 87,CN-300
000938 CH Equity,2022-06-10,BUY,紫光股份,189406,0,0,17.69,6.7012,500000,0,0,Quant,Pattern 87,CN-300
002466 CH Equity,2022-06-10,SELL,天齐锂业,-30462,0,0,109.99,6.7012,500000,0,0,Quant,Pattern 87,CN-300
002773 CH Equity,2022-06-10,BUY,康弘药业,237968,0,0,14.08,6.7012,500000,0,0,Quant,Pattern 87,CN-300
002938 CH Equity,2022-06-10,BUY,鹏鼎控股,116745,0,0,28.7,6.7012,500000,0,0,Quant,Pattern 87,CN-300
ALD AU Equity,2022-06-10,BUY,Ampol有限公司,38976,0,0,36.15,1.409,1000000,0,0,Quant,Pattern 87,AU
ARB AU Equity,2022-06-10,BUY,ARB 股份有限公司,47762,0,0,29.5,1.409,1000000,0,0,Quant,Pattern 87,AU
AUB AU Equity,2022-06-10,SELL,AUB集团有限公司,-74946,0,0,18.8,1.409,1000000,0,0,Quant,Pattern 87,AU
BEN AU Equity,2022-06-10,SELL,本迪戈与阿德莱德银行有限公司,-148628,0,0,9.48,1.409,1000000,0,0,Quant,Pattern 87,AU
COL AU Equity,2022-06-10,BUY,Coles集团有限公司,80011,0,0,17.61,1.409,1000000,0,0,Quant,Pattern 87,AU
CSL AU Equity,2022-06-10,BUY,CSL有限公司,5186,0,0,271.69,1.409,1000000,0,0,Quant,Pattern 87,AU
FMG AU Equity,2022-06-10,BUY,FMG集团,65352,0,0,21.56,1.409,1000000,0,0,Quant,Pattern 87,AU
IEL AU Equity,2022-06-10,SELL,IDP教育集团,-60162,0,0,23.42,1.409,1000000,0,0,Quant,Pattern 87,AU
ING AU Equity,2022-06-10,BUY,Inghams集团股份有限公司,480887,0,0,2.93,1.409,1000000,0,0,Quant,Pattern 87,AU
JHG AU Equity,2022-06-10,SELL,Janus Henderson集团公共有限,-37653,0,0,37.42,1.409,1000000,0,0,Quant,Pattern 87,AU
7762 JT Equity,2022-06-10,BUY,西铁城钟表株式会社,229045,0,0,587.0,134.45,1000000,0,0,Quant,Pattern 87,JT
7832 JT Equity,2022-06-10,SELL,万代南梦宫控股公司,-13545,0,0,9926.0,134.45,1000000,0,0,Quant,Pattern 87,JT
8058 JT Equity,2022-06-10,BUY,三菱商事,27882,0,0,4822.0,134.45,1000000,0,0,Quant,Pattern 87,JT
8316 JT Equity,2022-06-10,BUY,三井住友金融集团,33520,0,0,4011.0,134.45,1000000,0,0,Quant,Pattern 87,JT
8830 JT Equity,2022-06-10,SELL,住友不动产有限公司,-36318,0,0,3702.0,134.45,1000000,0,0,Quant,Pattern 87,JT
9104 JT Equity,2022-06-10,SELL,商船三井,-41754,0,0,3220.0,134.45,1000000,0,0,Quant,Pattern 87,JT
9434 JT Equity,2022-06-10,SELL,SoftBank Corp,-91276,0,0,1473.0,134.45,1000000,0,0,Quant,Pattern 87,JT
9983 JT Equity,2022-06-10,BUY,FAST RETAIL-DRS,3850,0,0,69830.0,134.45,1000000,0,0,Quant,Pattern 87,JT
AAPL US Equity,2022-06-10,BUY,苹果公司,3379,0,0,147.96,1.0,500000,0,0,Quant,Pattern 87,NDX
ALGN US Equity,2022-06-10,SELL,Align科技股份有限公司,-1830,0,0,273.13,1.0,500000,0,0,Quant,Pattern 87,NDX
3985 JT Equity,2022-06-10,BUY,TEMONA inc,171055,0,0,393.0,134.45,500000,0,0,Quant,Pattern 87,topix
4550 JT Equity,2022-06-10,BUY,日水制药株式会社,39335,0,0,1709.0,134.45,500000,0,0,Quant,Pattern 87,topix
4829 JT Equity,2022-06-10,SELL,Nihon Enterprise Co Ltd,-412423,0,0,163.0,134.45,500000,0,0,Quant,Pattern 87,topix
5334 JT Equity,2022-06-10,BUY,日本特殊陶业株式会社,25406,0,0,2646.0,134.45,500000,0,0,Quant,Pattern 87,topix
6200 JT Equity,2022-06-10,SELL,Insource Co Ltd,-28988,0,0,2319.0,134.45,500000,0,0,Quant,Pattern 87,topix
6292 JT Equity,2022-06-10,BUY,Kawata制造有限公司,61392,0,0,1095.0,134.45,500000,0,0,Quant,Pattern 87,topix
6419 JT Equity,2022-06-10,SELL,MARS集团控股株式会社,-38326,0,0,1754.0,134.45,500000,0,0,Quant,Pattern 87,topix
6504 JT Equity,2022-06-10,BUY,富士电机株式会社,10756,0,0,6250.0,134.45,500000,0,0,Quant,Pattern 87,topix
7244 JT Equity,2022-06-10,BUY,市光工业株式会社,168907,0,0,398.0,134.45,500000,0,0,Quant,Pattern 87,topix
DLTR US Equity,2022-06-10,SELL,Dollar Tree公司,-3100,0,0,161.26,1.0,500000,0,0,Quant,Pattern 87,NDX
FB US Equity,2022-06-10,SELL,Meta平台股份有限公司,-2542,0,0,196.64,1.0,500000,0,0,Quant,Pattern 87,NDX
FOX US Equity,2022-06-10,BUY,福克斯公司,15878,0,0,31.49,1.0,500000,0,0,Quant,Pattern 87,NDX
INTU US Equity,2022-06-10,BUY,Intuit 公司,1206,0,0,414.46,1.0,500000,0,0,Quant,Pattern 87,NDX
KHC US Equity,2022-06-10,BUY,卡夫亨氏公司,13368,0,0,37.4,1.0,500000,0,0,Quant,Pattern 87,NDX
MNST US Equity,2022-06-10,BUY,怪兽饮料公司,5540,0,0,90.24,1.0,500000,0,0,Quant,Pattern 87,NDX
OKTA US Equity,2022-06-10,SELL,Okta Inc,-4892,0,0,102.19,1.0,500000,0,0,Quant,Pattern 87,NDX
A2M AU Equity,2022-06-10,SELL,a2牛奶有限公司,-315212,0,0,4.47,1.409,1000000,0,0,Quant,Pattern 87,AU
ABP AU Equity,2022-06-10,SELL,Abacus地产集团,-497879,0,0,2.83,1.409,1000000,0,0,Quant,Pattern 87,AU
270 HK Equity,2022-06-10,BUY,粤海投资,823609,0,0,9.53,7.849,1000000,0,0,Quant,Pattern 87,HK
384 HK Equity,2022-06-10,SELL,中国燃气,-658473,0,0,11.92,7.849,1000000,0,0,Quant,Pattern 87,HK
386 HK Equity,2022-06-10,BUY,中国石化,2070976,0,0,3.79,7.849,1000000,0,0,Quant,Pattern 87,HK
586 HK Equity,2022-06-10,BUY,海螺创业,436055,0,0,18.0,7.849,1000000,0,0,Quant,Pattern 87,HK
656 HK Equity,2022-06-10,SELL,复星国际,-1024673,0,0,7.66,7.849,1000000,0,0,Quant,Pattern 87,HK
1093 HK Equity,2022-06-10,SELL,石药集团,-1039602,0,0,7.55,7.849,1000000,0,0,Quant,Pattern 87,HK
2007 HK Equity,2022-06-10,BUY,碧桂园,3311814,0,0,4.74,7.849,1000000,0,0,Quant,Pattern 87,HK
2319 HK Equity,2022-06-10,SELL,蒙牛乳业,-201514,0,0,38.95,7.849,1000000,0,0,Quant,Pattern 87,HK
2344 TT Equity,2022-06-10,SELL,华邦电子,-1035754,0,0,28.5,29.519,1000000,0,0,Quant,Pattern 87,TW
300113 CH Equity,2022-06-10,SELL,顺网科技,-323416,0,0,10.36,6.7012,500000,0,0,Quant,Pattern 87,CN-500
300253 CH Equity,2022-06-10,BUY,卫宁健康,396990,0,0,8.44,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600053 CH Equity,2022-06-10,BUY,九鼎投资,192895,0,0,17.37,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600056 CH Equity,2022-06-10,SELL,中国医药,-159324,0,0,21.03,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600201 CH Equity,2022-06-10,BUY,生物股份,400310,0,0,8.37,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600256 CH Equity,2022-06-10,BUY,广汇能源,296775,0,0,11.29,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600312 CH Equity,2022-06-10,SELL,平高电气,-449142,0,0,7.46,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600511 CH Equity,2022-06-10,SELL,国药股份,-125915,0,0,26.61,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600549 CH Equity,2022-06-10,SELL,厦门钨业,-161942,0,0,20.69,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600754 CH Equity,2022-06-10,BUY,锦江酒店,64434,0,0,52.0,6.7012,500000,0,0,Quant,Pattern 87,CN-500
601066 CH Equity,2022-06-10,SELL,中信建投,-143494,0,0,23.35,6.7012,500000,0,0,Quant,Pattern 87,CN-300
601211 CH Equity,2022-06-10,SELL,国泰君安,-227159,0,0,14.75,6.7012,500000,0,0,Quant,Pattern 87,CN-300
601298 CH Equity,2022-06-10,BUY,青岛港,591978,0,0,5.66,6.7012,500000,0,0,Quant,Pattern 87,CN-300
601788 CH Equity,2022-06-10,BUY,光大证券,469929,0,0,14.26,6.7012,500000,0,0,Quant,Pattern 87,CN-300
601818 CH Equity,2022-06-10,BUY,光大银行,1067070,0,0,3.14,6.7012,500000,0,0,Quant,Pattern 87,CN-300
601933 CH Equity,2022-06-10,SELL,永辉超市,-788376,0,0,4.25,6.7012,500000,0,0,Quant,Pattern 87,CN-300
000100 KS Equity,2022-06-10,SELL,裕元兴业股份有限公司,-21555,0,0,58300.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
000880 KS Equity,2022-06-10,SELL,韩华公司,-42456,0,0,29600.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
006360 KS Equity,2022-06-10,BUY,GS工程建设公司,33556,0,0,37450.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
010130 KS Equity,2022-06-10,BUY,高丽亚铅公司,2224,0,0,565000.0,1256.7,1000000,0,0,Quant,Pattern 87,KR
981 HK Equity,2022-06-10,BUY,中芯国际,449541,0,0,17.46,7.849,1000000,0,0,Quant,Pattern 87,HK-Conn
992 HK Equity,2022-06-10,SELL,联想集团,-1016709,0,0,7.72,7.849,1000000,0,0,Quant,Pattern 87,HK-Conn
998 HK Equity,2022-06-10,SELL,中信银行,-2076455,0,0,3.7800000000000002,7.849,1000000,0,0,Quant,Pattern 87,HK-Conn
1820 JT Equity,2022-06-10,BUY,西松建设株式会社,15507,0,0,4335.0,134.45,500000,0,0,Quant,Pattern 87,topix
2117 JT Equity,2022-06-10,BUY,日新制糖有限公司,38436,0,0,1749.0,134.45,500000,0,0,Quant,Pattern 87,topix
2791 JT Equity,2022-06-10,BUY,大黑天物产股份公司,30011,0,0,4480.0,134.45,500000,0,0,Quant,Pattern 87,topix
2975 JT Equity,2022-06-10,BUY,Star Mica Holdings Co Ltd,41116,0,0,1635.0,134.45,500000,0,0,Quant,Pattern 87,topix
3275 JT Equity,2022-06-10,SELL,Housecom公司,-64888,0,0,1036.0,134.45,500000,0,0,Quant,Pattern 87,topix
3538 JT Equity,2022-06-10,BUY,Willplus Holdings Corp,72284,0,0,930.0,134.45,500000,0,0,Quant,Pattern 87,topix
3608 JT Equity,2022-06-10,BUY,TSI株式会社,173708,0,0,387.0,134.45,500000,0,0,Quant,Pattern 87,topix
8766 JT Equity,2022-06-10,SELL,东京海上控股株式会社,-8848,0,0,7597.0,134.45,500000,0,0,Quant,Pattern 87,topix
8871 JT Equity,2022-06-10,BUY,Goldcrest株式会社,38971,0,0,1725.0,134.45,500000,0,0,Quant,Pattern 87,topix
9644 JT Equity,2022-06-10,SELL,Tanabe咨询株式会社,-97427,0,0,690.0,134.45,500000,0,0,Quant,Pattern 87,topix
AMX US Equity,2022-06-10,BUY,美洲电信可变动资本额股份有限,24937,0,0,20.05,1.0,500000,0,0,Quant,Pattern 87,us_etf
CS US Equity,2022-06-10,BUY,瑞士信贷集团,72780,0,0,6.87,1.0,500000,0,0,Quant,Pattern 87,us_etf
LYG US Equity,2022-06-10,SELL,劳埃德银行集团,-222222,0,0,2.25,1.0,500000,0,0,Quant,Pattern 87,us_etf
OTEX US Equity,2022-06-10,BUY,Open Text公司,12385,0,0,40.37,1.0,500000,0,0,Quant,Pattern 87,us_etf
PBA US Equity,2022-06-10,SELL,彭比纳管道公司,-11859,0,0,42.16,1.0,500000,0,0,Quant,Pattern 87,us_etf
