,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
086450 KS Equity,2022-05-07,BUY,DongKook制药有限公司,59779,0,0,21300.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
088800 KS Equity,2022-05-07,SELL,Ace Technologies Corp,-116816,0,0,10900.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
095700 KS Equity,2022-05-07,BUY,Genexine股份有限公司,34274,0,0,37150.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
108230 KS Equity,2022-05-07,BUY,Toptec Co Ltd,154714,0,0,8230.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
108320 KS Equity,2022-05-07,SELL,LX半导体株式会社,-10194,0,0,124900.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
131970 KS Equity,2022-05-07,SELL,Tesna Inc,-27680,0,0,46000.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
263750 KS Equity,2022-05-07,BUY,Pearl Abyss Corp,20438,0,0,62300.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
290510 KS Equity,2022-05-07,BUY,Koreacenter Co Ltd,191186,0,0,6660.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
293780 KS Equity,2022-05-07,SELL,AptaBio Therapeutics Inc,-72552,0,0,17550.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
319660 KS Equity,2022-05-07,BUY,PSK Inc,26806,0,0,47500.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
003380 KS Equity,2022-05-07,BUY,Harim Holdings Co Ltd,120122,0,0,10600.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
005290 KS Equity,2022-05-07,SELL,东进世美肯有限公司,-30793,0,0,41350.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
033290 KS Equity,2022-05-07,SELL,COWELL FASHION Co Ltd,-173002,0,0,7360.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
033640 KS Equity,2022-05-07,SELL,NEPES Corp,-43457,0,0,29300.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
034230 KS Equity,2022-05-07,BUY,Paradise有限公司,81101,0,0,15700.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
036930 KS Equity,2022-05-07,SELL,周星工程,-57485,0,0,22150.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
038500 KS Equity,2022-05-07,BUY,SAMPYO Cement Co Ltd,246286,0,0,5170.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
053800 KS Equity,2022-05-07,BUY,安博士股份有限公司,10845,0,0,117400.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
060150 KS Equity,2022-05-07,SELL,Insun ENT Co Ltd,-116816,0,0,10900.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
078130 KS Equity,2022-05-07,BUY,Kuk-il Paper Manufacturing C,417475,0,0,3050.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
SEK AU Equity,2022-05-07,SELL,Seek 有限公司,-55847,0,0,25.31,1.4135,1000000,0,0,Quant,Pattern 87,AU
SPK AU Equity,2022-05-07,BUY,Spark新西兰有限公司,319074,0,0,4.43,1.4135,1000000,0,0,Quant,Pattern 87,AU
STO AU Equity,2022-05-07,BUY,桑托斯有限公司,175590,0,0,8.05,1.4135,1000000,0,0,Quant,Pattern 87,AU
000776 CH Equity,2022-05-07,BUY,广发证券,223189,0,0,15.05,6.718,500000,0,0,Quant,Pattern 87,CN-300
000876 CH Equity,2022-05-07,BUY,新 希 望,243936,0,0,13.77,6.718,500000,0,0,Quant,Pattern 87,CN-300
002027 CH Equity,2022-05-07,SELL,分众传媒,-588266,0,0,5.71,6.718,500000,0,0,Quant,Pattern 87,CN-300
002468 CH Equity,2022-05-07,SELL,申通快递,-373637,0,0,8.99,6.718,500000,0,0,Quant,Pattern 87,CN-300
002773 CH Equity,2022-05-07,SELL,康弘药业,-241654,0,0,13.9,6.718,500000,0,0,Quant,Pattern 87,CN-300
600028 CH Equity,2022-05-07,SELL,中国石化,-784813,0,0,4.28,6.718,500000,0,0,Quant,Pattern 87,CN-300
600048 CH Equity,2022-05-07,SELL,保利发展,-204942,0,0,16.39,6.718,500000,0,0,Quant,Pattern 87,CN-300
MGA US Equity,2022-05-07,BUY,麦格纳国际公司,8341,0,0,59.94,1.0,500000,0,0,Quant,Pattern 87,us_adr
RACE US Equity,2022-05-07,BUY,法拉利,2474,0,0,202.06,1.0,500000,0,0,Quant,Pattern 87,us_adr
SHEL US Equity,2022-05-07,BUY,壳牌公共有限公司,8781,0,0,56.94,1.0,500000,0,0,Quant,Pattern 87,us_adr
STM US Equity,2022-05-07,BUY,意法半导体有限公司,13605,0,0,36.75,1.0,500000,0,0,Quant,Pattern 87,us_adr
TAK US Equity,2022-05-07,SELL,武田药品工业,-34578,0,0,14.46,1.0,500000,0,0,Quant,Pattern 87,us_adr
TSM US Equity,2022-05-07,SELL,台积电,-5425,0,0,92.15,1.0,500000,0,0,Quant,Pattern 87,us_adr
270 HK Equity,2022-05-07,SELL,粤海投资,-800979,0,0,9.8,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
3369 HK Equity,2022-05-07,SELL,秦港股份,-6766896,0,0,1.16,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
3808 HK Equity,2022-05-07,BUY,中国重汽,911684,0,0,8.61,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
6099 HK Equity,2022-05-07,BUY,招商证券,982428,0,0,7.99,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
719 HK Equity,2022-05-07,BUY,新华制药,1038306,0,0,7.5600000000000005,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
780 HK Equity,2022-05-07,BUY,同程旅行,586666,0,0,13.38,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
873 HK Equity,2022-05-07,SELL,世茂服务,-3737904,0,0,4.2,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
881 HK Equity,2022-05-07,SELL,中升控股,-157780,0,0,49.75,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
960 HK Equity,2022-05-07,BUY,龙湖集团,209882,0,0,37.4,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
