,17
601015 CH Equity,1.0
601018 CH Equity,1.0
601038 CH Equity,1.0
601068 CH Equity,1.0
601088 CH Equity,1.0
601100 CH Equity,1.0
601111 CH Equity,1.0
601127 CH Equity,1.0
601139 CH Equity,1.0
601156 CH Equity,1.0
601166 CH Equity,1.0
601169 CH Equity,1.0
601179 CH Equity,1.0
601187 CH Equity,1.0
601211 CH Equity,1.0
601222 CH Equity,1.0
601225 CH Equity,1.0
601228 CH Equity,1.0
601238 CH Equity,1.0
601288 CH Equity,1.0
601318 CH Equity,1.0
601319 CH Equity,1.0
601328 CH Equity,1.0
601333 CH Equity,1.0
601390 CH Equity,1.0
601398 CH Equity,1.0
601568 CH Equity,1.0
601579 CH Equity,1.0
601600 CH Equity,1.0
601601 CH Equity,1.0
601607 CH Equity,1.0
601611 CH Equity,1.0
601615 CH Equity,1.0
601628 CH Equity,1.0
601633 CH Equity,1.0
601658 CH Equity,1.0
601665 CH Equity,1.0
601669 CH Equity,1.0
601677 CH Equity,1.0
601699 CH Equity,1.0
601728 CH Equity,1.0
601766 CH Equity,1.0
601816 CH Equity,1.0
601818 CH Equity,1.0
601828 CH Equity,1.0
601838 CH Equity,1.0
601857 CH Equity,1.0
601868 CH Equity,1.0
601878 CH Equity,1.0
601880 CH Equity,1.0
601881 CH Equity,1.0
601898 CH Equity,1.0
601899 CH Equity,1.0
601916 CH Equity,1.0
601918 CH Equity,1.0
601919 CH Equity,1.0
601933 CH Equity,1.0
601939 CH Equity,1.0
601963 CH Equity,1.0
601965 CH Equity,1.0
601985 CH Equity,1.0
601988 CH Equity,1.0
601991 CH Equity,1.0
601995 CH Equity,1.0
603008 CH Equity,1.0
603017 CH Equity,1.0
603019 CH Equity,1.0
603026 CH Equity,1.0
603042 CH Equity,1.0
603043 CH Equity,1.0
603070 CH Equity,1.0
603077 CH Equity,1.0
603102 CH Equity,1.0
603113 CH Equity,1.0
603115 CH Equity,1.0
603121 CH Equity,1.0
603169 CH Equity,1.0
603178 CH Equity,1.0
603180 CH Equity,1.0
603185 CH Equity,1.0
603208 CH Equity,1.0
603212 CH Equity,1.0
603219 CH Equity,1.0
603229 CH Equity,1.0
603288 CH Equity,1.0
603297 CH Equity,1.0
603298 CH Equity,1.0
603308 CH Equity,1.0
603327 CH Equity,1.0
603333 CH Equity,1.0
603345 CH Equity,1.0
603355 CH Equity,1.0
603366 CH Equity,1.0
603392 CH Equity,1.0
603456 CH Equity,1.0
603486 CH Equity,1.0
603517 CH Equity,1.0
603536 CH Equity,1.0
603568 CH Equity,1.0
603589 CH Equity,1.0
603599 CH Equity,1.0
603605 CH Equity,1.0
603613 CH Equity,1.0
603617 CH Equity,1.0
603639 CH Equity,1.0
603656 CH Equity,1.0
603696 CH Equity,1.0
603778 CH Equity,1.0
603797 CH Equity,1.0
603810 CH Equity,1.0
603848 CH Equity,1.0
603858 CH Equity,1.0
603866 CH Equity,1.0
603885 CH Equity,1.0
603888 CH Equity,1.0
603893 CH Equity,1.0
603906 CH Equity,1.0
603939 CH Equity,1.0
603979 CH Equity,1.0
603995 CH Equity,1.0
603997 CH Equity,1.0
605108 CH Equity,1.0
605111 CH Equity,1.0
605117 CH Equity,1.0
605138 CH Equity,1.0
605336 CH Equity,1.0
605368 CH Equity,1.0
605388 CH Equity,1.0
688019 CH Equity,1.0
