,18
600510 CH Equity,-1.0
600511 CH Equity,-1.0
600512 CH Equity,1.0
600519 CH Equity,-1.0
600521 CH Equity,1.0
600566 CH Equity,-1.0
600569 CH Equity,-1.0
600573 CH Equity,1.0
600584 CH Equity,1.0
600585 CH Equity,-1.0
600587 CH Equity,-1.0
600596 CH Equity,-1.0
600612 CH Equity,-1.0
600639 CH Equity,-1.0
600657 CH Equity,1.0
600660 CH Equity,1.0
600673 CH Equity,-1.0
600686 CH Equity,-1.0
600690 CH Equity,-1.0
600691 CH Equity,-1.0
600692 CH Equity,1.0
600702 CH Equity,1.0
600706 CH Equity,1.0
600733 CH Equity,-1.0
600736 CH Equity,-1.0
600741 CH Equity,1.0
600744 CH Equity,1.0
600760 CH Equity,-1.0
600765 CH Equity,-1.0
600766 CH Equity,1.0
600770 CH Equity,1.0
600771 CH Equity,1.0
600773 CH Equity,-1.0
600793 CH Equity,-1.0
600795 CH Equity,-1.0
600801 CH Equity,-1.0
600803 CH Equity,-1.0
600812 CH Equity,-1.0
600825 CH Equity,1.0
600845 CH Equity,-1.0
600862 CH Equity,-1.0
600867 CH Equity,-1.0
600880 CH Equity,1.0
600887 CH Equity,-1.0
600888 CH Equity,-1.0
600900 CH Equity,-1.0
600909 CH Equity,-1.0
600919 CH Equity,-1.0
600926 CH Equity,-1.0
600933 CH Equity,-1.0
600941 CH Equity,-1.0
600963 CH Equity,1.0
600966 CH Equity,-1.0
600998 CH Equity,1.0
601012 CH Equity,-1.0
601111 CH Equity,-1.0
601118 CH Equity,-1.0
601127 CH Equity,-1.0
601156 CH Equity,1.0
601186 CH Equity,-1.0
601211 CH Equity,-1.0
601229 CH Equity,1.0
601238 CH Equity,-1.0
601288 CH Equity,-1.0
601318 CH Equity,-1.0
601336 CH Equity,-1.0
601390 CH Equity,-1.0
601555 CH Equity,1.0
601598 CH Equity,1.0
601600 CH Equity,-1.0
601618 CH Equity,-1.0
601628 CH Equity,-1.0
601633 CH Equity,-1.0
601658 CH Equity,-1.0
601677 CH Equity,-1.0
601766 CH Equity,1.0
601799 CH Equity,-1.0
601808 CH Equity,-1.0
601811 CH Equity,1.0
601816 CH Equity,-1.0
601828 CH Equity,-1.0
601857 CH Equity,1.0
601865 CH Equity,1.0
601872 CH Equity,1.0
601877 CH Equity,1.0
601888 CH Equity,-1.0
601899 CH Equity,-1.0
601916 CH Equity,1.0
601929 CH Equity,1.0
601933 CH Equity,1.0
601952 CH Equity,1.0
601963 CH Equity,-1.0
601965 CH Equity,-1.0
601991 CH Equity,1.0
603018 CH Equity,-1.0
603025 CH Equity,1.0
603026 CH Equity,-1.0
603033 CH Equity,-1.0
603081 CH Equity,-1.0
603085 CH Equity,-1.0
603123 CH Equity,1.0
603165 CH Equity,1.0
603197 CH Equity,-1.0
603198 CH Equity,1.0
603208 CH Equity,1.0
603218 CH Equity,1.0
603226 CH Equity,1.0
603229 CH Equity,1.0
603233 CH Equity,1.0
603260 CH Equity,-1.0
603290 CH Equity,1.0
603313 CH Equity,-1.0
603316 CH Equity,-1.0
603320 CH Equity,1.0
603348 CH Equity,-1.0
603359 CH Equity,1.0
603388 CH Equity,1.0
603466 CH Equity,-1.0
603508 CH Equity,1.0
603517 CH Equity,1.0
603533 CH Equity,1.0
603556 CH Equity,1.0
603565 CH Equity,-1.0
603566 CH Equity,1.0
603588 CH Equity,1.0
603596 CH Equity,-1.0
603605 CH Equity,-1.0
603658 CH Equity,1.0
603660 CH Equity,-1.0
603665 CH Equity,-1.0
603678 CH Equity,1.0
603690 CH Equity,1.0
603707 CH Equity,-1.0
603722 CH Equity,1.0
603737 CH Equity,-1.0
603739 CH Equity,-1.0
603786 CH Equity,-1.0
603799 CH Equity,-1.0
603801 CH Equity,-1.0
603806 CH Equity,1.0
603816 CH Equity,-1.0
603826 CH Equity,-1.0
603833 CH Equity,-1.0
603843 CH Equity,-1.0
603868 CH Equity,-1.0
603885 CH Equity,1.0
603888 CH Equity,1.0
603889 CH Equity,1.0
603908 CH Equity,1.0
603919 CH Equity,1.0
603933 CH Equity,1.0
603963 CH Equity,1.0
603986 CH Equity,-1.0
605111 CH Equity,1.0
605123 CH Equity,-1.0
605151 CH Equity,-1.0
605266 CH Equity,1.0
605303 CH Equity,-1.0
605338 CH Equity,-1.0
605499 CH Equity,1.0
688012 CH Equity,-1.0
688033 CH Equity,1.0
688037 CH Equity,1.0
688063 CH Equity,1.0
688066 CH Equity,1.0
688067 CH Equity,-1.0
688082 CH Equity,1.0
688091 CH Equity,-1.0
688099 CH Equity,1.0
688116 CH Equity,1.0
688122 CH Equity,-1.0
688153 CH Equity,1.0
688155 CH Equity,-1.0
688169 CH Equity,-1.0
