,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300867 CH Equity,2022-05-12,BUY,圣元环保,9663,0,0,21.15,6.8125,30000,0,0,Quant,Pattern 95,CN
300870 CH Equity,2022-05-12,BUY,深圳欧陆通电子股份有限公司,5197,0,0,39.32,6.8125,30000,0,0,Quant,Pattern 95,CN
300875 CH Equity,2022-05-12,BUY,捷强装备,4687,0,0,43.6,6.8125,30000,0,0,Quant,Pattern 95,CN
300941 CH Equity,2022-05-12,BUY,创识科技,7042,0,0,29.02,6.8125,30000,0,0,Quant,Pattern 95,CN
300956 CH Equity,2022-05-12,BUY,英力股份,12446,0,0,16.42,6.8125,30000,0,0,Quant,Pattern 95,CN
300963 CH Equity,2022-05-12,BUY,中洲特材,11520,0,0,17.74,6.8125,30000,0,0,Quant,Pattern 95,CN
301021 CH Equity,2022-05-12,BUY,英诺激光,8287,0,0,24.66,6.8125,30000,0,0,Quant,Pattern 95,CN
301038 CH Equity,2022-05-12,BUY,深水规院,7600,0,0,26.89,6.8125,30000,0,0,Quant,Pattern 95,CN
301087 CH Equity,2022-05-12,BUY,可孚医疗,4265,0,0,47.91,6.8125,30000,0,0,Quant,Pattern 95,CN
002867 CH Equity,2022-05-12,BUY,周大生,15240,0,0,13.41,6.8125,30000,0,0,Quant,Pattern 95,CN
002881 CH Equity,2022-05-12,BUY,美格智能,6556,0,0,31.17,6.8125,30000,0,0,Quant,Pattern 95,CN
002916 CH Equity,2022-05-12,BUY,深南电路,2144,0,0,95.3,6.8125,30000,0,0,Quant,Pattern 95,CN
002920 CH Equity,2022-05-12,BUY,德赛西威,1619,0,0,126.22,6.8125,30000,0,0,Quant,Pattern 95,CN
002930 CH Equity,2022-05-12,BUY,宏川智慧,11192,0,0,18.26,6.8125,30000,0,0,Quant,Pattern 95,CN
002940 CH Equity,2022-05-12,BUY,昂利康,4823,0,0,42.37,6.8125,30000,0,0,Quant,Pattern 95,CN
002957 CH Equity,2022-05-12,BUY,科瑞技术,16067,0,0,12.72,6.8125,30000,0,0,Quant,Pattern 95,CN
003013 CH Equity,2022-05-12,BUY,地铁设计,12064,0,0,16.94,6.8125,30000,0,0,Quant,Pattern 95,CN
