,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
688737 CH Equity,2022-05-02,SELL,中自科技,-22054,0,0,30.28,6.6781,100000,0,0,Quant,Pattern 95,CN
603799 CH Equity,2022-05-02,BUY,华友钴业,8113,0,0,82.31,6.6781,100000,0,0,Quant,Pattern 95,CN
603823 CH Equity,2022-05-02,SELL,百合花,-58837,0,0,11.35,6.6781,100000,0,0,Quant,Pattern 95,CN
603858 CH Equity,2022-05-02,SELL,步长制药,-36753,0,0,18.17,6.6781,100000,0,0,Quant,Pattern 95,CN
603869 CH Equity,2022-05-02,BUY,新智认知,86841,0,0,7.6899999999999995,6.6781,100000,0,0,Quant,Pattern 95,CN
603876 CH Equity,2022-05-02,BUY,鼎胜新材,24733,0,0,27.0,6.6781,100000,0,0,Quant,Pattern 95,CN
603882 CH Equity,2022-05-02,SELL,金域医学,-8211,0,0,81.33,6.6781,100000,0,0,Quant,Pattern 95,CN
603949 CH Equity,2022-05-02,SELL,雪龙集团,-28000,0,0,23.85,6.6781,100000,0,0,Quant,Pattern 95,CN
603956 CH Equity,2022-05-02,SELL,威派格,-67116,0,0,9.95,6.6781,100000,0,0,Quant,Pattern 95,CN
603986 CH Equity,2022-05-02,BUY,兆易创新,5350,0,0,124.81,6.6781,100000,0,0,Quant,Pattern 95,CN
603989 CH Equity,2022-05-02,BUY,艾华集团,25295,0,0,26.4,6.6781,100000,0,0,Quant,Pattern 95,CN
600323 CH Equity,2022-05-02,BUY,瀚蓝环境,36136,0,0,18.48,6.6781,100000,0,0,Quant,Pattern 95,CN
600337 CH Equity,2022-05-02,SELL,美克家居,-225611,0,0,2.96,6.6781,100000,0,0,Quant,Pattern 95,CN
600351 CH Equity,2022-05-02,SELL,亚宝药业,-110381,0,0,6.05,6.6781,100000,0,0,Quant,Pattern 95,CN
600398 CH Equity,2022-05-02,SELL,海澜之家集团股份有限公司,-128178,0,0,5.21,6.6781,100000,0,0,Quant,Pattern 95,CN
600406 CH Equity,2022-05-02,BUY,国电南瑞,20869,0,0,32.0,6.6781,100000,0,0,Quant,Pattern 95,CN
600419 CH Equity,2022-05-02,SELL,天润乳业,-54073,0,0,12.35,6.6781,100000,0,0,Quant,Pattern 95,CN
600438 CH Equity,2022-05-02,BUY,通威股份,16248,0,0,41.1,6.6781,100000,0,0,Quant,Pattern 95,CN
600483 CH Equity,2022-05-02,SELL,福能股份,-52833,0,0,12.64,6.6781,100000,0,0,Quant,Pattern 95,CN
600491 CH Equity,2022-05-02,BUY,龙元建设,129170,0,0,5.17,6.6781,100000,0,0,Quant,Pattern 95,CN
600515 CH Equity,2022-05-02,BUY,海南机场设施股份有限公司,187587,0,0,3.56,6.6781,100000,0,0,Quant,Pattern 95,CN
002805 CH Equity,2022-05-02,BUY,丰元股份,26605,0,0,25.1,6.6781,100000,0,0,Quant,Pattern 95,CN
002841 CH Equity,2022-05-02,BUY,视源股份,8704,0,0,76.72,6.6781,100000,0,0,Quant,Pattern 95,CN
002853 CH Equity,2022-05-02,SELL,皮阿诺,-65215,0,0,10.24,6.6781,100000,0,0,Quant,Pattern 95,CN
002906 CH Equity,2022-05-02,SELL,华阳集团,-20973,0,0,31.84,6.6781,100000,0,0,Quant,Pattern 95,CN
002918 CH Equity,2022-05-02,BUY,蒙娜丽莎,50362,0,0,13.26,6.6781,100000,0,0,Quant,Pattern 95,CN
002920 CH Equity,2022-05-02,BUY,德赛西威,5586,0,0,119.53,6.6781,100000,0,0,Quant,Pattern 95,CN
002926 CH Equity,2022-05-02,BUY,华西证券,95537,0,0,6.99,6.6781,100000,0,0,Quant,Pattern 95,CN
002945 CH Equity,2022-05-02,BUY,华林证券,48182,0,0,13.86,6.6781,100000,0,0,Quant,Pattern 95,CN
002995 CH Equity,2022-05-02,SELL,天地在线,-35635,0,0,18.74,6.6781,100000,0,0,Quant,Pattern 95,CN
300015 CH Equity,2022-05-02,BUY,爱尔眼科,18591,0,0,35.92,6.6781,100000,0,0,Quant,Pattern 95,CN
300308 CH Equity,2022-05-02,BUY,中际旭创,21809,0,0,30.62,6.6781,100000,0,0,Quant,Pattern 95,CN
300315 CH Equity,2022-05-02,SELL,掌趣科技,-217527,0,0,3.07,6.6781,100000,0,0,Quant,Pattern 95,CN
300363 CH Equity,2022-05-02,BUY,博腾股份,9066,0,0,73.66,6.6781,100000,0,0,Quant,Pattern 95,CN
300371 CH Equity,2022-05-02,BUY,汇中股份,62412,0,0,10.7,6.6781,100000,0,0,Quant,Pattern 95,CN
300391 CH Equity,2022-05-02,SELL,康跃科技,-66448,0,0,10.05,6.6781,100000,0,0,Quant,Pattern 95,CN
